 	viene	fabbricato	</S>
a31	0.00026519792	0.9841283	0.015606426
a24	2.921732e-07	0.999967	3.2837797e-05
a31	6.5864675e-05	0.9999107	2.3420424e-05
a18	2.217803e-06	0.99999416	3.6352253e-06
a31	0.00010937619	0.99893886	0.00095182104
a37	3.9617372e-08	0.99988997	0.00010999702
a31	0.00014126697	0.36734068	0.6325181
a20	1.4421555e-07	0.9996302	0.0003696285
a41	0.0096694175	0.03464079	0.9556898
a31	0.003189456	0.98986256	0.0069480403
a35	0.0010601783	0.990926	0.008013816
</S>	0.5032407	0.008121742	0.4886375
