 	sto	e	cucino	</S>
a31	0.15149643	0.84783924	0.00016376741	0.0005006126
a20	0.9992461	0.00024576046	0.000502068	6.059944e-06
a31	0.063947655	1.45902895e-05	0.9360375	1.7489272e-07
a37	0.9965912	3.884334e-05	0.003361534	8.409054e-06
a18	0.0020453013	6.792108e-07	0.99795365	3.05644e-07
a31	0.04418274	0.011900217	0.942611	0.001306086
a20	0.990418	0.008975281	0.00058586826	2.0832043e-05
a31	0.011798272	0.0013612428	0.98361796	0.003222415
a28	0.46014297	0.5368008	0.0028573757	0.00019888792
a33	0.003665809	1.6809373e-06	0.99612397	0.00020853095
a31	0.0103784	0.005451468	0.804385	0.17978518
</S>	0.028662074	2.252666e-05	0.97121733	9.802788e-05
