 	che	non	li	aspetiamo	</S>
a20	0.0006136409	0.011266086	0.0003547791	0.68974	0.2980255
a8	6.0807847e-06	7.753932e-05	0.00020721508	0.9978586	0.0018506224
a7	2.2175527e-06	7.0379447e-06	0.00070392207	0.9965779	0.0027088774
a35	0.01058174	0.010747664	0.03206142	0.48066965	0.46593952
a46	0.00021895442	0.00018656129	0.0719082	0.89143544	0.036250904
a31	0.02129906	0.004995382	0.96851724	0.000796799	0.0043914653
a11	2.5866853e-05	0.0004954217	0.010443911	0.003604201	0.9854306
a31	0.035734273	0.07505395	0.84037	0.00023489524	0.04860679
a0	2.1499485e-05	0.001880482	0.008275364	0.010492648	0.97933
a31	0.1489584	0.21520601	0.6187577	0.00034368312	0.016734133
a30	0.00044398295	0.021300554	0.08359172	0.53246135	0.3622024
a0	0.20348287	0.28757277	0.5043089	0.00023055615	0.0044049188
a31	0.23187475	0.6591166	0.09941221	0.0017735737	0.007822871
</S>	0.14366174	0.49976796	0.3175436	0.026697015	0.012329717
