 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a8	0.3004735	0.061252378	0.013835079	0.02837652	0.49326873	0.097700655	0.00071840535	0.004374718
a31	0.0019294729	0.0002466925	0.0008099694	0.0050885505	0.98454005	0.006923022	0.000109257	0.0003529445
a8	0.0002605904	1.0786565e-05	9.124773e-05	1.9136836e-05	0.9989505	0.0006662973	6.595509e-07	8.357359e-07
a31	0.00010160841	0.000102225116	0.0003908757	0.0005149308	0.8940066	0.0035180093	0.10116384	0.00020195956
a46	0.00023097509	0.0001717473	0.0051855906	0.010170584	0.90782833	0.07054419	0.0058247447	4.3815176e-05
a31	0.00010579029	5.4682816e-05	0.00024453533	0.0006382369	0.8803299	0.009496475	0.1087069	0.00042352252
a20	0.00014804989	2.5649357e-05	0.0008162656	0.0034735035	0.94558215	0.047526296	0.0024241956	3.9640645e-06
a31	0.0010385494	5.3721047e-05	0.00011893203	0.0008308724	0.45201913	0.16018787	0.38568875	6.213988e-05
a13	2.977691e-06	1.746817e-08	1.15116116e-07	1.1715118e-05	0.9868794	0.013104222	1.5834288e-06	2.0424347e-08
a17	0.00016628526	0.00019067009	0.0002610446	0.0019576068	0.34965318	0.57558423	0.07217516	1.1841499e-05
a8	2.2897115e-05	5.7120225e-05	0.00010716203	0.00017180438	0.99730575	0.0018435181	0.0004844574	7.2112e-06
a31	0.03724842	0.118547134	0.08175763	0.0352648	0.36607993	0.020135006	0.32712916	0.013837916
a8	0.0028210052	4.9217924e-05	2.815882e-05	3.6774214e-05	0.9865545	0.006962051	0.003528647	1.9575895e-05
a20	0.023689754	0.14904402	0.14572665	0.01817696	0.32974038	0.009311277	0.3217839	0.0025270593
a31	0.1687999	0.39200708	0.089551605	0.024381509	0.08621168	0.012260448	0.189721	0.037066784
a28	0.024982579	0.002728591	0.001447442	0.0009358807	0.9277329	0.021754505	0.019851888	0.00056620943
a31	0.08078873	0.25926414	0.1662567	0.03589526	0.18988465	0.12773818	0.13979775	0.00037460928
a38	0.006985815	0.0010105217	0.0010936358	0.0017262641	0.90642774	0.07095084	0.011363708	0.00044147432
a31	0.036657307	0.1905305	0.13413295	0.0134716965	0.035979245	0.013254423	0.57423025	0.0017435914
a17	0.29908475	0.04608827	0.012280878	0.0034540235	0.43713197	0.014594938	0.18261726	0.0047478834
a3	0.09224426	0.49477148	0.20486136	0.004201073	0.010799124	0.008221314	0.17936923	0.005532196
a10	0.19428681	0.63155746	0.06395687	0.001216047	0.0002846633	0.00032659277	0.105795704	0.0025758352
a20	0.11303176	0.5038911	0.07688525	0.0021386757	0.00010329199	0.00048003002	0.30035445	0.0031154603
a35	0.1372096	0.50713044	0.15913643	0.010252902	4.0455256e-05	0.00095562136	0.14742948	0.03784508
a37	0.17393035	0.5589484	0.1368825	0.008060808	7.989388e-05	0.0005628436	0.021353183	0.10018204
a23	0.22180323	0.6737505	0.057069574	0.0017683149	2.1569915e-05	4.6057397e-05	0.010729152	0.034811553
a20	0.1251686	0.686259	0.13828404	0.0051579955	3.2510008e-05	0.00016116806	0.0029819408	0.041954778
a31	0.15946469	0.6531978	0.099756196	0.0035603305	1.8041723e-05	0.00012257122	0.015922701	0.067957655
a0	0.60420185	0.23894903	0.035101265	0.0017279672	0.009244081	0.0001315333	0.060361356	0.0502829
a31	0.20900051	0.56160563	0.1492938	0.003944028	7.87941e-06	0.00055613375	0.04190819	0.033683803
a13	0.78804356	0.15162213	0.00916325	0.00025592823	0.019371297	5.58595e-05	0.022258122	0.009229762
a31	0.1939113	0.60319173	0.16048458	0.0026280268	8.374187e-06	0.00039548654	0.014037791	0.025342697
a39	0.7674688	0.16172151	0.008078476	0.00023324972	0.039119743	7.0589675e-05	0.015374815	0.007932764
a17	0.17143022	0.60463786	0.1721679	0.0030204616	7.51074e-06	0.0004593685	0.016097587	0.032179058
</S>	0.18280448	0.6706063	0.1010252	0.006077331	0.00014159402	3.1067524e-05	0.0071383356	0.0321756
