 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.0013943538	0.8293062	0.16779391	8.5848603e-07	0.0014002238	0.00010435124
a31	0.0010105326	0.06807387	0.028451938	7.499202e-05	0.9012218	0.0011668768
a24	0.29962713	0.023076598	0.48349342	0.0010704084	0.192719	1.3340165e-05
a37	0.11364203	0.019565541	0.8666858	2.818747e-07	0.000106251966	5.4650467e-08
a14	0.057717547	0.00522485	0.9337992	2.8041504e-07	0.0032384691	1.9569761e-05
a29	0.2512324	0.011847463	0.72563547	1.9728125e-06	0.011176899	0.00010575387
a0	0.44790182	0.046251014	0.48152375	1.3882477e-05	0.024151754	0.00015774873
a29	0.44858205	0.31718236	0.19947703	0.00045859528	0.033741415	0.0005584884
a20	0.24630912	0.09095738	0.62600195	2.2156548e-05	0.036560357	0.00014902117
a31	0.105720766	0.79842967	0.02640531	0.012925281	0.052540198	0.0039788205
a24	0.00713103	0.26060563	0.7281913	1.0475568e-06	0.0040486758	2.2291142e-05
a46	0.57787025	0.18414442	0.002802941	0.18183663	0.047613498	0.0057322825
a31	0.06510737	0.25544327	0.0063338154	0.45847955	0.13156737	0.0830686
a0	0.17543262	0.72621095	0.08802978	3.1304735e-05	0.008575915	0.0017194157
a20	0.26788622	0.07197289	0.00091104524	0.6115212	0.042665977	0.005042609
a31	0.1707737	0.56457347	0.00411819	0.21284387	0.024174362	0.023516469
a46	0.08892593	0.8973054	0.0043692486	0.00056256104	0.003984479	0.00485224
</S>	0.24971598	0.24162151	0.0046615284	0.40760487	0.05996149	0.036434636
