 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
a31	0.13786373	0.28301138	0.00035816935	3.330544e-05	0.0044936715	0.000307957	0.0004711043	0.0013180304	0.0016347956	0.0046681645	0.00013896974	0.4350474	1.1772066e-05	0.000102829035	2.5348972e-05	0.1301205	0.0003928564
a8	0.6762942	0.2339311	1.6565715e-05	3.889145e-09	0.007206206	8.7597124e-05	0.0032102978	0.014916242	6.221229e-05	0.00014823582	0.002168851	0.06189888	7.6278485e-07	4.4727134e-05	2.473669e-07	1.3449682e-05	4.0303146e-07
a31	0.0070417128	0.07607335	0.05765375	0.090740174	0.10147041	0.040688414	0.019667443	0.022749795	0.00315781	0.003640591	0.35466635	0.20585373	8.061489e-06	0.0008278115	8.8207935e-06	0.015298447	0.0004534333
a41	0.10782372	0.4360443	0.0051946095	6.6324874e-06	0.089551166	0.026909538	0.022529338	0.020803075	0.0016496348	0.0014299932	0.103320554	0.17068821	0.00017517609	0.013633955	2.5505307e-05	0.00019520642	1.935455e-05
a10	0.13657838	0.33690125	0.0054338295	0.006985053	0.27443424	0.026178554	0.020783976	0.002848118	0.00016242951	0.001003429	0.073791675	0.11401038	2.3652168e-08	9.6230666e-05	7.2089237e-09	0.00078952196	2.884879e-06
a20	0.19327831	0.08975789	0.0007849341	0.000703493	0.0323204	0.5276893	0.09722732	0.0005914465	0.00033284497	0.017816622	0.02618594	0.013254234	7.42369e-09	1.03698885e-05	1.7934038e-09	4.4838158e-05	2.047828e-06
a31	0.045625117	0.05664712	0.0015611866	0.0018037198	0.019444779	0.64099824	0.10501725	0.0020106172	0.0008077134	0.023406569	0.08655575	0.016050696	4.8932108e-08	6.3891275e-05	2.387754e-09	6.5856657e-06	6.78592e-07
a37	0.6218458	0.08902676	1.0217573e-05	7.602217e-07	0.011595648	0.06371653	0.054536615	0.0039104847	0.0013012592	0.0613206	0.0029918547	0.08935253	7.0801553e-07	0.00036738635	1.0615691e-07	2.1484038e-05	1.2801836e-06
a31	0.016522605	0.06144187	0.004320284	0.0061290236	0.013017718	0.12605253	0.22902173	0.04907333	0.0035944611	0.0043621613	0.45927256	0.023740267	1.0337077e-05	0.0034393792	1.500215e-07	6.3591807e-07	9.102619e-07
a18	0.07551648	0.16617964	6.9099005e-05	3.3310153e-05	0.0437034	0.06917151	0.18961482	0.044609167	0.0006652653	0.045282006	0.05603985	0.30332163	2.2819934e-06	0.0054286215	4.34918e-07	0.00033656505	2.597864e-05
a31	0.012904674	0.08654609	0.00920657	0.009498089	0.00817862	0.041355126	0.12826213	0.12114765	0.00796638	0.0012699275	0.5457707	0.014734681	0.0002222735	0.012835679	4.0127285e-05	2.5120331e-05	3.617845e-05
a46	0.09674974	0.14356267	0.00012485712	0.00011252851	0.046788312	0.08085856	0.30593923	0.07684508	0.000271954	0.015844615	0.14627637	0.08187493	1.7440195e-06	0.0044526015	6.851363e-07	0.00024513024	5.0877105e-05
a20	0.017880857	0.3148134	0.018926512	0.015938105	0.02132437	0.03213424	0.051128823	0.13224185	0.05302379	0.0016197069	0.20976512	0.0262321	0.004134109	0.07699794	0.009023399	0.010626554	0.0041891737
a31	0.017728064	0.7476753	0.037524067	0.02511674	0.02440332	0.0039379825	0.004029624	0.016578877	0.01292774	0.000938955	0.023112953	0.014541756	0.00061346707	0.009195536	0.0071150833	0.039704803	0.014855584
a20	0.13969025	0.64646757	0.0059390846	0.00014634458	0.022594694	0.0017673927	0.00636154	0.07426738	0.005190138	0.001713608	0.017556863	0.05918746	0.00024134447	0.004508354	0.0004447657	0.013064678	0.00085852377
a29	0.061865453	0.229416	0.05491831	0.043131016	0.025235424	0.04713036	0.094972715	0.1261952	0.012600465	0.00203674	0.2823479	0.010500368	0.0008180831	0.0086829355	8.36719e-05	2.0231653e-05	4.5166416e-05
