 	non	sono	ancora	vestita	</S>
a31	0.06504402	0.014960798	0.13160142	0.7864625	0.001931241
a23	0.0025462843	0.00896007	0.04082952	0.94755876	0.00010536349
a31	0.055713277	0.05309086	0.09571021	0.7656817	0.029803896
a7	0.010538289	0.03806904	0.7340373	0.21728684	6.8497415e-05
a31	0.12333734	0.4380691	0.33736897	0.10119797	2.6599133e-05
a13	0.044937715	0.018457718	0.32433963	0.61223996	2.4970765e-05
a31	0.044439398	0.31948602	0.3282229	0.27360335	0.034248333
a37	0.008204879	0.033141512	0.4866602	0.4719552	3.8148846e-05
a18	0.03200082	0.7334314	0.18214147	0.025372738	0.027053501
a31	0.04751332	0.41335908	0.18911675	0.26827177	0.081738986
a46	0.015863013	0.6291916	0.28695238	0.06529268	0.0027004024
a8	0.34036016	0.55849665	0.050013494	0.023006113	0.028123619
</S>	0.278163	0.6104205	0.08296638	0.008449827	0.020000333
