 	non	aveva	dove	a	stare	</S>
a31	0.03994857	1.0904206e-05	0.93984413	0.0073790173	0.009800421	0.0030168642
a8	0.0007532461	1.8582273e-09	0.9965922	0.00054103404	0.0020373072	7.6113836e-05
a31	0.01703166	0.00010353874	0.58182204	0.24440189	0.06883175	0.08780909
a28	0.013034297	3.2846794e-05	0.96472347	0.022083664	7.5861426e-05	4.9891256e-05
a37	0.034926374	4.4653046e-08	0.96488	0.00011176526	6.9517715e-05	1.2263188e-05
a31	0.10281512	3.1721075e-07	0.8010618	0.025707211	0.053107996	0.01730753
a18	0.009442781	2.0988038e-08	0.9894365	0.00050073053	0.00035748875	0.00026245686
a0	0.013668257	0.00016066438	0.0042063068	0.116428144	0.3052987	0.56023794
a23	0.72765607	8.7749e-06	0.075700104	0.014254791	0.15701626	0.025364032
a8	0.88724315	0.023391029	0.006584872	0.00818047	0.039472908	0.035127524
a31	0.18958083	0.036486447	0.032855235	0.14327477	0.38165808	0.2161447
a20	0.9576217	2.927195e-05	0.038148735	0.00093968946	0.0031051894	0.00015540146
a31	0.5163698	0.105753675	0.00524663	0.073502	0.22403641	0.07509144
a20	0.8545812	3.0390407e-05	0.015831176	0.0012841364	0.11879512	0.009478084
a24	0.7927054	0.17009117	0.0005928506	0.0069343853	0.020576086	0.009100039
a8	0.82383126	0.024304088	7.3570016e-05	0.00029960054	0.08938165	0.062109765
a31	0.26264745	0.24450065	0.00066791155	0.020280685	0.37514552	0.09675778
</S>	0.70645857	2.7286967e-05	0.00091048435	7.41886e-05	0.11178217	0.18074727
