 	e	che	cucino	</S>
a31	0.9635416	0.03103022	0.00010723638	0.0053208317
a24	0.75405914	0.23807277	0.00029029677	0.00757784
a31	0.009078471	0.0030308317	0.9878611	2.9632465e-05
a11	0.8238469	0.08566778	0.029079417	0.061405912
a46	0.01717017	0.018971018	0.9635539	0.0003048319
a41	0.018448442	0.88664514	0.08324527	0.011661139
a20	0.69269156	0.063015394	0.23062128	0.013671747
a36	0.14491281	0.13658689	0.6766856	0.041814715
a31	0.023105014	0.017057225	0.2628461	0.6969916
a46	0.016857054	0.019856175	0.85978884	0.103497945
</S>	0.0743649	0.030139824	0.6013103	0.294185
