 	io	nella	mia	vita	ho	sempre	lavorato	</S>
a8	0.22325428	0.3363872	4.2557807e-05	0.025369387	4.2230324e-05	0.39908892	0.011816144	0.003999284
a31	0.040633403	0.30023888	0.000229929	0.11813602	0.0012236111	0.17983061	0.3594737	0.0002338182
a29	0.04103	0.12625024	2.1803058e-05	0.0038110164	0.00013474	0.8059163	0.022827597	8.380486e-06
a10	0.14032881	0.29183394	1.529323e-05	0.0029673912	0.0009506203	0.55461067	0.0092898095	3.4471961e-06
a24	0.24300389	0.53052515	1.2488081e-05	0.015513682	0.0018785263	0.16976961	0.03928476	1.1925316e-05
a31	0.15369008	0.4947015	2.9699954e-06	0.27462104	0.00034964975	0.071438275	0.005188827	7.6749975e-06
a24	0.021566782	0.03279888	8.912843e-10	0.039522532	2.2302434e-08	0.9060462	6.482114e-05	6.8559314e-07
a16	0.14596553	0.289903	4.782901e-05	0.5004437	0.015299092	0.0051532052	0.04317705	1.0561772e-05
a31	0.031051135	0.14644599	0.00372546	0.15991734	0.13237184	0.04761628	0.47611207	0.002759887
a20	0.53672725	0.40267894	2.582399e-07	0.038073126	8.1197295e-06	0.00803112	0.014176566	0.0003046162
a31	0.057487044	0.26646093	0.0034661118	0.177578	0.31596366	0.022795657	0.1558141	0.0004344332
a11	0.5962313	0.37412035	9.80092e-07	0.008631808	2.871967e-05	0.0043227584	0.016094007	0.0005700925
a17	0.10393123	0.4763765	0.0024138384	0.08955571	0.30078387	0.0014454784	0.02538808	0.000105295265
a11	0.08575928	0.41086462	0.013033618	0.019687083	0.31509647	0.0007730117	0.15288211	0.0019038849
a17	0.19411236	0.7818831	0.0010366114	0.0014150311	0.009662792	3.9442857e-05	0.010773462	0.0010772254
a31	0.22906175	0.35328856	0.029284572	0.0027501206	0.30371585	7.887802e-05	0.077300094	0.004520138
a20	0.5742856	0.40553632	1.3591912e-05	0.0007420133	0.00028219516	0.0004798466	0.015709823	0.0029506302
a31	0.005794308	0.049580563	0.043047283	0.0013842378	0.84212834	2.6130168e-05	0.0477014	0.010337734
a20	0.517638	0.43341103	0.00035062886	0.0006057685	0.0021952102	0.00091256894	0.030118562	0.014768173
a8	0.004402961	0.023284703	0.07113048	0.00059466687	0.8167836	1.2453921e-05	0.047680702	0.03611036
a31	0.1534523	0.4500615	0.15570919	0.0025888544	0.08646533	3.2559168e-05	0.05239328	0.09929697
a24	0.34201413	0.18641324	0.02103029	0.00047178482	0.260709	0.00093993667	0.06334078	0.1250808
a31	0.026601478	0.02216105	0.058943093	2.9192695e-05	0.88175166	8.020752e-06	0.0060073864	0.0044981684
a10	0.48864597	0.44427654	0.00047845673	0.00064823066	0.0031915768	0.0010311604	0.041226342	0.020501725
a31	0.016513623	0.026295217	0.07021634	0.0007346597	0.7775662	4.5671404e-05	0.05264459	0.055983655
a11	0.45686764	0.44605312	0.0013219398	0.00095991464	0.0033096862	0.0021527535	0.058746677	0.03058822
a46	0.0336863	0.0342731	0.07601267	0.0021670416	0.651359	0.00011414569	0.082229085	0.12015863
a6	0.11842081	0.21444564	0.329721	0.0012285069	0.2733344	1.48100025e-05	0.033019826	0.02981503
a31	0.14899619	0.28341502	0.19871102	0.0029142771	0.1714049	4.3982116e-05	0.050639447	0.14387514
a26	0.33058918	0.14115064	0.04275662	0.0008474272	0.21094778	0.004065589	0.06895176	0.20069097
a31	0.037832886	0.014062905	0.1342952	2.524222e-05	0.80118775	8.549179e-06	0.0058339587	0.0067535713
a8	0.44702756	0.4368879	0.0015721231	0.0010191706	0.0040942505	0.0024388377	0.06909403	0.03786619
</S>	0.013483155	0.039558645	0.2884241	0.0032580395	0.46033704	3.6054265e-05	0.07256607	0.12233686
