 	essendosi	vestito	</S>
a46	0.0068077603	0.3552844	0.63790786
a31	0.36074635	0.18960325	0.44965038
a18	0.99993694	6.0794584e-05	2.299031e-06
a31	0.99662954	2.3727827e-05	0.0033466807
a20	0.9986551	0.00040878035	0.00093607395
a46	0.9998288	1.9992533e-05	0.00015118979
a20	0.97617006	0.006227251	0.017602751
a31	0.94467986	0.039234072	0.01608615
a0	0.0021868623	0.06915914	0.928654
a46	0.6058255	0.38659075	0.0075837746
a35	0.7734129	0.16615447	0.06043265
a46	0.21514237	0.7790948	0.0057627894
a24	0.07210803	0.9254169	0.0024751318
a46	0.0842939	0.9155612	0.00014489575
a24	0.00088758866	0.99907553	3.6752845e-05
a31	0.00539207	0.99458414	2.3875571e-05
</S>	0.0029572907	0.99536335	0.0016792936
