 	lo	posso	finire	di	fare	</S>
a20	0.0035688737	0.20471893	0.37513822	0.40041065	0.01579031	0.0003729713
a31	7.857902e-06	0.8448299	0.09606717	0.038220752	0.02080373	7.063848e-05
a46	0.0053799143	0.63397807	0.08614905	0.006177963	0.26713055	0.0011844569
a31	0.0001750104	0.9199053	0.061808866	0.0026833443	0.015006066	0.00042154724
a41	0.0067133605	0.5757027	0.28834593	0.012612017	0.115489215	0.0011366862
a18	0.024803812	0.68580425	0.23522578	0.015140661	0.035603866	0.0034215602
a7	0.008167595	0.425897	0.34954405	0.017253442	0.1841932	0.014944745
a41	0.017376505	0.22474737	0.5148049	0.033111922	0.19016092	0.019798405
a31	0.02007741	0.07780213	0.056941133	0.054801222	0.35140932	0.4389688
a0	0.0012838251	0.032751855	0.33862126	0.55132556	0.06882678	0.007190723
a31	0.01621358	0.0093863765	0.00570265	0.028223047	0.44369915	0.49677515
a39	0.010437063	0.14612536	0.1031853	0.15846926	0.3979219	0.18386112
a46	0.13737541	0.009581572	0.0057267654	0.018217772	0.56609213	0.2630063
</S>	0.12416477	0.0015820852	0.003262455	0.012345975	0.46633545	0.3923093
