 	l	ha	scritta	</S>
a20	0.0015426695	0.92376935	0.05141615	0.023271812
a31	5.6706704e-05	0.09179941	0.8842073	0.02393654
a35	5.636817e-05	0.0012723793	0.9906254	0.00804587
a31	0.00051095424	0.13925435	0.8557861	0.0044485666
a35	0.00026356176	0.015636686	0.96276104	0.021338701
a31	0.0013503347	0.03834943	0.8738378	0.08646239
a41	3.367489e-05	0.014323359	0.9842696	0.001373338
a31	0.0074051637	0.110917546	0.7457065	0.13597079
a11	1.5095812e-05	0.035181593	0.9642437	0.0005595824
a18	0.30778557	0.48473978	0.1541627	0.05331189
a13	0.2535514	0.535297	0.14732762	0.06382399
</S>	0.15133582	0.67599875	0.17192478	0.0007406289
