 	non	mangiare	la	sera	</S>
m	0.99549805	0.003745540265	0.000287094665	0.00046756177065	1.72902230815e-06
i	0.748556056667	0.250838268955	0.000448414021667	0.000156629773273	5.9473818815e-07
f	0.382644432222	0.603949789652	0.0128652205072	0.000511144817048	2.9429067176e-05
a	0.205331630741	0.629448453217	0.163641462169	0.00132180860568	0.000256676810725
i	0.12377513158	0.440611727739	0.42740918739	0.00445121706856	0.00375272041691
o	0.100238288527	0.271197639246	0.47852361913	0.0897466203562	0.0602937814723
v	0.0783845781757	0.162908633082	0.298585226377	0.368435520119	0.0916860114908
r	0.0377522997252	0.0873615743607	0.140187711126	0.684744973373	0.0499534338303
à	0.0241799032417	0.0630351247869	0.143678042709	0.562877249458	0.206229690277
i	0.0334247360806	0.0647364782623	0.174604074236	0.244095828153	0.483138896759
</S>	0.0387501080403	0.0606452741311	0.149367827118	0.167346594076	0.583890198379
