 	stava	ancora	cucinando	</S>
ì	0.997302575	0.002532164187	0.00016167762719	3.6366231e-06
s	0.922411801667	0.075896689687	0.00133462012052	0.000356905604567
t	0.897430077222	0.100369669299	0.00172575361959	0.000474471488569
i	0.959031105741	0.040221353503	0.000587108031617	0.00016042928857
g	0.953753715247	0.0454713221677	0.000412313342872	0.000362646201523
g	0.958688938416	0.0405385604826	0.000343437735091	0.000429043169441
h	0.985922079472	0.0137013535942	0.000117511829997	0.000259065838747
e	0.710287749824	0.264468578205	0.000691862560832	0.0245518372262
a	0.310906879941	0.527085492735	0.0481271959203	0.113880429075
n	0.165203906647	0.593839897578	0.0770938353068	0.163862343025
k	0.374814775549	0.439796531526	0.0443597687689	0.141028921008
ò	0.41838625985	0.225741129509	0.149056393256	0.206816223669
r	0.18486760795	0.392670529836	0.185364549085	0.237097281223
a	0.11521281265	0.406269268279	0.0905985543617	0.387919323741
m	0.112038060883	0.28570384776	0.117342748121	0.48491532458
a	0.101313878961	0.225274492587	0.218253909374	0.455157691527
r	0.0603680583203	0.116121389196	0.299461703125	0.524048813842
è	0.0482094187734	0.0819859740653	0.332417851042	0.537386721281
o	0.0332076332578	0.0568454740218	0.363053550347	0.54689332376
n	0.0620839654193	0.0799174046739	0.301635300116	0.556363314587
t	0.254283308473	0.0852820602246	0.192952233372	0.467482394862
a	0.290846437158	0.0562781027415	0.167760961124	0.485114511621
</S>	0.169533070079	0.0534857773707	0.173631980562	0.60334917581
