 	che	non	li	aspettiamo	</S>
n	0.96993893	0.029829355	0.0001187432022	0.00011214440335	7.63854713e-07
a	0.687757546667	0.312098283333	0.0001059013122	3.78994255633e-05	3.05770413e-07
m	0.346572428889	0.429477951111	0.170485486714	0.0396610086474	0.0138030998738
i	0.229116898296	0.372029617037	0.326861598905	0.0533088485158	0.0186830441413
t	0.180206338099	0.383952799012	0.374967856302	0.0268302538053	0.0340427842304
u	0.140981219366	0.253716129671	0.475505995434	0.0851754479351	0.0446212377435
s	0.0768186964553	0.163229096557	0.422447295145	0.174319045978	0.163185868915
m	0.0450032548184	0.105058072186	0.227450046382	0.144824905993	0.477663719638
ì	0.0408592142728	0.0981552673953	0.187214406794	0.105771832664	0.567999263213
n	0.0532778627576	0.156377919132	0.332413435598	0.103807278888	0.354123484404
o	0.0458136162525	0.153956517711	0.308053551866	0.185314687629	0.306861638135
m	0.124142516084	0.110901813904	0.230324177289	0.252074395876	0.282557098045
e	0.151138509028	0.095688609968	0.187680119096	0.246996331959	0.318496404682
</S>	0.088689875014	0.062007502984	0.116436379548	0.279385465979	0.453480752341
