 	sta	e	dorme	nel	letto	</S>
s	0.991869895	0.0081066349	1.85354025e-05	3.606612674e-06	1.373340323e-06	2.1382671635e-08
t	0.991737631667	0.0082285871	2.70525081667e-05	6.01866244067e-06	7.51665256333e-07	7.56366215167e-09
e	0.784895150556	0.215066992833	3.02791920556e-05	7.04987528022e-06	5.50357271111e-07	5.53565290056e-09
c	0.419276065185	0.460102530944	0.120051877989	0.000562669742227	4.0727148427e-06	2.7706984593e-06
e	0.211615435395	0.607352776981	0.180086562663	0.000935546290742	5.88288674757e-06	3.80415681977e-06
p	0.196902253798	0.507801212327	0.270369747554	0.0232320244736	0.00159037648605	0.00010440803544
l	0.417692324599	0.228422974109	0.293402875851	0.0536648094912	0.00409578202868	0.00272124143515
ò	0.425459584866	0.181457658036	0.324110828617	0.0616364721637	0.00373160740956	0.00360387191172
n	0.187292278289	0.214986459345	0.516063742872	0.0686747717212	0.00988657066985	0.00309619717057
n	0.23233411943	0.166828578782	0.485122360957	0.0959097172404	0.0169688828899	0.00283633464519
i	0.24474537981	0.0911055572607	0.347422353652	0.261894645747	0.0470691709633	0.00776288413673
s	0.115673886603	0.0695689490869	0.279183764551	0.427859801916	0.0842996586544	0.0234139680456
t	0.155514402201	0.0432065346956	0.265397681517	0.410005387305	0.101998121218	0.0238779335485
o	0.169535680734	0.0336985872319	0.193160855172	0.355315829102	0.141182560406	0.107106540716
g	0.0800967329113	0.0359796270773	0.119553776391	0.342444416367	0.235927400135	0.185998030239
r	0.0368709106371	0.0192741641591	0.0710091084637	0.488139062122	0.268453190045	0.116253510713
à	0.0236097295457	0.014684703853	0.0399753224879	0.474953267374	0.249919010015	0.196857930871
t	0.0242179175152	0.021782713951	0.0389160151626	0.276410699125	0.266496216672	0.372176406957
t	0.0385880445051	0.0191017299837	0.0521166127209	0.357540679708	0.258084582224	0.274568329219
i	0.0449172301684	0.0192806603279	0.0534216022403	0.337829621236	0.252547124075	0.29200375664
</S>	0.0375458330842	0.024454736664	0.0426340981201	0.193560852618	0.256574052038	0.44523042832
