 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.533666125	0.4628574275	0.00338842525	6.438903456e-05	2.30284265795e-05	3.601312537e-07	3.299164245e-07
g	0.531852608333	0.447356303633	0.00262860195	0.0180933022712	6.76687765795e-05	1.4079734537e-06	1.14980423833e-07
e	0.560534342778	0.409830029011	0.00540973688333	0.0241406394004	8.34109703932e-05	1.75722491127e-06	4.40572297777e-08
n	0.344129104259	0.617966943004	0.0221771509611	0.0155900807768	0.000119860684998	1.67293815971e-05	1.61905039093e-07
i	0.248158914753	0.675954981001	0.0606507586537	0.0150818955923	0.000131574003566	2.17211004252e-05	2.01209075298e-07
t	0.192672108251	0.647853127	0.0924833312179	0.0547315058641	0.00640582254309	0.00583737533537	1.67201984807e-05
ò	0.142609907417	0.464189402333	0.282305125406	0.0945189019547	0.00857782450436	0.00777645055062	2.23994808269e-05
r	0.091577727139	0.375671394111	0.442643341802	0.0840080139849	0.00349368832479	0.00259683187904	9.0645439423e-06
u	0.0766484690463	0.307008938037	0.454493480601	0.159171624662	0.00180226240826	0.00087074616528	4.51604332743e-06
e	0.0679728230154	0.164129657679	0.453189613534	0.288745291554	0.0255196779361	0.00040166257736	4.12690387891e-05
n	0.106736497672	0.124370310893	0.362011427845	0.271561650518	0.124622625979	0.0103603374325	0.000337129419596
è	0.148156915891	0.137873293631	0.307769345948	0.202349383506	0.183949771993	0.0188222154775	0.0010790752732
n	0.170248421964	0.167993734544	0.282190741983	0.230898454502	0.130916709331	0.0151076204925	0.00264432879107
u	0.176640903988	0.173359111515	0.219071353994	0.244819654834	0.10432121511	0.0694689478308	0.012318807497
s	0.169870891329	0.126779341838	0.126954854665	0.198055951611	0.216630631703	0.136400155944	0.025308172499
s	0.20404424711	0.071874071946	0.058507435555	0.19438090387	0.331309297234	0.109090012648	0.0307940341663
c	0.16742201837	0.035101504982	0.0368984038517	0.34172003129	0.314267319078	0.0811562315493	0.0234344939554
e	0.0754462921233	0.0211468423273	0.0342200059506	0.334952127097	0.268694353026	0.178974770516	0.0865656178851
r	0.0459476727078	0.0268789231091	0.0409855933169	0.174276585699	0.320369817675	0.219438483505	0.172102929295
r	0.0288508255693	0.0198900327897	0.0290017601056	0.130059935233	0.417677639225	0.246747387835	0.127772424765
è	0.0191476295231	0.0148403913499	0.0231918360352	0.093498918411	0.350758059742	0.380796739278	0.117766419922
t	0.022226259841	0.01920741645	0.0237081856784	0.0615191318037	0.201904191247	0.459575416426	0.211859369974
s	0.0406505896137	0.01399910815	0.0251102825595	0.139660769601	0.218778598416	0.386944775475	0.174855852658
u	0.0471275488712	0.01432111905	0.0298592718532	0.1604491332	0.206493849472	0.311590728492	0.230158346886
m	0.0394275406237	0.0200371670167	0.0202734619511	0.0789352327333	0.109121866491	0.432937582831	0.299267172295
e	0.0368164985412	0.0218466076722	0.0167120406504	0.0511271775778	0.0732431188303	0.47674850761	0.323506070765
m	0.0407696461804	0.0224308642241	0.0152502834501	0.0443392951926	0.0546912062768	0.495074082537	0.327444646922
à	0.0410586937268	0.021585843408	0.0138879763834	0.0411161793975	0.0483455754256	0.508126950846	0.325878815641
i	0.0296951845756	0.023220436136	0.0211475967945	0.0307769144658	0.0392234884752	0.403404486949	0.452531915214
</S>	0.0283015772878	0.025071800568	0.0243079258973	0.0294224092329	0.0368708492376	0.364584633474	0.491440822607
