 	era	molto	stanco	</S>
ì	0.9986866	0.00125471285	5.43703639e-05	4.3341735e-06
o	0.724534083333	0.271097561883	3.93089072333e-05	0.00432909362233
n	0.343937881111	0.643875467294	0.00177263363241	0.0104140528741
e	0.19458159037	0.768601712431	0.0057060912108	0.031110609958
p	0.14026534679	0.804958244144	0.0179203154036	0.036856103986
o	0.13356107893	0.821905131381	0.0203608637012	0.0241729353287
d	0.116383112977	0.75761501046	0.0603078414671	0.0656940451096
d	0.071581800659	0.77741503682	0.0798387838224	0.0711643852132
h	0.0630495332197	0.831354592273	0.0720626412741	0.0335332249144
ì	0.0861061410732	0.728248844091	0.080429565758	0.105215407971
s	0.0793805870244	0.479510541364	0.101217610586	0.33989119599
t	0.0467289393415	0.306507890455	0.312587930195	0.334175231363
r	0.0348563154472	0.276063286818	0.576416466732	0.112663969388
à	0.0427509304824	0.177599456273	0.475215892244	0.304433736029
k	0.0467430501608	0.096789961091	0.293700904081	0.562766085343
k	0.0365366243869	0.0821016553637	0.498051044694	0.383310689581
o	0.0368525524623	0.0774663217879	0.500997886231	0.38468323766
</S>	0.0486281812312	0.069824145894	0.304361675115	0.57718596883
