 	le	ragazze	vogliono	guardate	</S>
t	0.994552195	0.00537749855	6.9893242e-05	3.525394575e-07	6.671612385e-08
a	0.878017168333	0.12194122385	4.14793148667e-05	1.29356496167e-07	2.32898914833e-08
k	0.816621279444	0.17238536795	0.0107467051078	0.000235184334737	1.15216902281e-05
o	0.634557473148	0.349319255983	0.0157941967026	0.000313614491246	1.5520948176e-05
r	0.360814737716	0.593576418661	0.0332681555675	0.0105923497767	0.00174834855583
à	0.248933032572	0.616279419554	0.118440516856	0.0140200794304	0.00232692763948
s	0.179114234191	0.655538553185	0.159758845619	0.004733943375	0.000854382334027
i	0.145932633064	0.548747701062	0.30328937854	0.00166154962833	0.000368693830009
a	0.0882174770213	0.321442827021	0.58569282618	0.00185328558611	0.00279356039534
t	0.0888959200071	0.19472235234	0.653303708727	0.031563585462	0.0315144472984
è	0.0914130393357	0.141297484113	0.638581522909	0.085048205154	0.0436597707661
l	0.0672432557786	0.110965172704	0.71984198097	0.075963416718	0.025986154922
o	0.0615926985929	0.095148325568	0.587948680323	0.213506470573	0.041803782974
n	0.0636159228643	0.079484801856	0.411084136774	0.313655213524	0.132159877658
e	0.0547754052881	0.0638681256187	0.311572228925	0.374049424508	0.195734775886
k	0.0732570094294	0.0427768155396	0.160491179642	0.367911878169	0.355563118629
a	0.0751232368098	0.0310745561799	0.096789053214	0.29585656939	0.501156622876
n	0.0388853006033	0.0253298723933	0.0926450944047	0.38135153313	0.461788234292
o	0.0269203215344	0.0234755094644	0.0863101001349	0.405735444377	0.457558631431
n	0.0248454415115	0.0241162461548	0.0624089913783	0.379887148126	0.508742187144
i	0.0278876548372	0.0242763620516	0.0491720864594	0.375850026042	0.522813882381
m	0.0502565682791	0.0247984493505	0.0407323014865	0.348813185347	0.535399514127
m	0.0887559727597	0.122168434117	0.0440879751622	0.198747296449	0.546240344709
è	0.0793676479199	0.153339910372	0.0479574503874	0.18154078015	0.53779422157
n	0.0923486029733	0.0765788577907	0.0637220734625	0.34451166005	0.422838810523
a	0.108192303324	0.0622904245969	0.0761297294875	0.33678820335	0.416599340174
</S>	0.083226415162	0.0602267522984	0.0689584922438	0.245500726675	0.542087620087
