 	l	ho	sentito	che	viene	</S>
o	0.92096047	0.0691861285	0.009814350335	3.4344536e-05	3.58095931e-06	1.08784224e-06
n	0.705075813333	0.283210766167	0.011509940945	0.000201715099333	1.2353386e-06	4.80433878333e-07
ì	0.412856184444	0.427546395389	0.146484595148	0.0130472004464	5.37929159e-06	6.02459097978e-05
k	0.231244166481	0.324390141796	0.404623968383	0.0390787568155	0.000232725792197	0.000430266576599
u	0.152506663827	0.232095687265	0.482573582794	0.129241448939	0.000352456724066	0.0032301795922
s	0.120759611276	0.181661232422	0.434858737598	0.256003259646	0.000222989744689	0.00649419253073
a	0.0918784704253	0.133584427474	0.332254159199	0.424425286549	0.00237752165823	0.0154801638436
n	0.138361110142	0.113372119158	0.176453519733	0.473960962183	0.0100316672194	0.0878206556145
a	0.140663040714	0.090741894386	0.0951417575777	0.339603634061	0.19547283374	0.138376868538
r	0.0811835909047	0.065441389462	0.0746867335259	0.23194714802	0.290857961247	0.255883206179
t	0.316967373635	0.0669175944873	0.073874287842	0.127322616507	0.137552873999	0.277365287726
i	0.381118963545	0.0531488384958	0.0568226179473	0.0731308260023	0.139638694916	0.296140081575
</S>	0.202228590273	0.0387002077479	0.0427683019737	0.0813447280012	0.210446597458	0.424511590788
