 	sono	vestita	</S>
ì	0.986986325	0.0117085905	0.00130512371
m	0.695648225	0.271568622167	0.03278320697
e	0.404799678333	0.534642294056	0.0605580846567
n	0.296593528111	0.588080471352	0.115326017219
d	0.305295358037	0.566102810451	0.128601833073
i	0.306615002679	0.483354496817	0.210030505024
m	0.14538733256	0.602360742272	0.252251938341
è	0.07623508452	0.603018817424	0.320746129447
n	0.12321126684	0.485672192475	0.391116566482
i	0.13982157228	0.404611704158	0.455566722161
</S>	0.08790254114	0.310080862079	0.602016576081
