 	non	deve	magniare	la	sera	</S>
e	0.99026518	0.00935248467	0.00019536823	5.25928017e-05	0.000132865667	1.50310745e-06
n	0.733628396667	0.264689025557	0.00115039007667	0.000486191075033	4.52257753667e-05	7.82160623433e-07
è	0.374987598889	0.581750408519	0.0390387562256	0.00420545585834	1.54926882422e-05	2.27574581458e-06
n	0.203144962963	0.55763082284	0.208776153409	0.0301291322861	0.000291524247501	2.73402252715e-05
a	0.109505163654	0.366294530947	0.351849451136	0.171273737429	0.000513505375834	0.000563544518424
f	0.0775161455513	0.203372956982	0.456231083712	0.21386573481	0.0474268890653	0.00158712977281
à	0.0597777961838	0.128762638994	0.476831944571	0.26325468727	0.0652330825884	0.00613979139094
i	0.0464216060613	0.104981618331	0.359763024857	0.452456245757	0.0276449282628	0.00873254623031
t	0.0474911933538	0.0841763181103	0.282323054952	0.458078231919	0.115658447254	0.0122727625101
o	0.0560491477846	0.0763246773701	0.205737368317	0.34742952064	0.282147452418	0.03231185917
v	0.0529820229282	0.0610138204567	0.134733499439	0.23601021188	0.470760650806	0.0444998230567
r	0.0284136732761	0.0310899084856	0.0713534210463	0.12010565896	0.720732216935	0.0283051525189
à	0.0196686000587	0.0238795744952	0.0471627599154	0.10212797632	0.596209588978	0.210951569006
i	0.0290378226862	0.0326191914984	0.0527760993051	0.115283033773	0.252767879659	0.517516023002
</S>	0.0337413198431	0.0358534307492	0.0474587011525	0.0895822343865	0.165263359829	0.628100961501
