 	non	sono	ancora	vestita	</S>
e	0.98889759	0.01069023535	0.00033998932	6.70334205e-05	5.11700305e-06
n	0.826423056667	0.171386863783	0.00213674138667	4.91274438333e-05	4.1966601e-06
ì	0.516024862222	0.477409727928	0.00648658766222	6.68606612778e-05	1.19802422167e-05
m	0.334945487407	0.630437259309	0.0331022792207	0.000703154403759	0.000811870139072
e	0.251418752469	0.601620253103	0.144381673074	0.000974978414586	0.00160437551302
a	0.15601531749	0.431940584368	0.357008937691	0.0425063871515	0.0125287682043
n	0.11719020083	0.253255331456	0.40755522923	0.110665505717	0.111333727068
k	0.276631561943	0.229225987152	0.231431808077	0.095580000239	0.167130661023
ò	0.296725363981	0.195578222384	0.185351761026	0.11715283508	0.205191815674
r	0.13281804466	0.190446627461	0.328231363675	0.13285161636	0.215652341891
a	0.0984792198867	0.192411999154	0.373211341225	0.0841895717867	0.251707887297
e	0.0692436166289	0.109121359718	0.246313977075	0.188829552262	0.386491475766
n	0.0460673022096	0.0608001755727	0.126345183692	0.339219327421	0.427567971922
d	0.0749474957365	0.0649143341909	0.062065991564	0.42706276914	0.371009393974
i	0.0762512245788	0.0597450647303	0.052343856188	0.449845379713	0.361814494658
m	0.0562880291929	0.0372888572434	0.0503752087293	0.505179743238	0.350868168219
è	0.0527082653976	0.0313525747478	0.0324107129098	0.486790541079	0.396737886073
n	0.0555154191325	0.0448231799159	0.0407159493033	0.40759982036	0.451345622024
i	0.0651173903775	0.0577977033053	0.0495144061011	0.336054473453	0.491516020675
</S>	0.0591232261888	0.0556821091526	0.0526705650505	0.249230851727	0.583293240337
