 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
e	0.987139275	0.012734073215	0.0001154787565	1.07302655e-05	2.878096985e-07	3.25712845e-08	2.00260835e-08	1.403394525e-08	1.332047615e-08	1.20055285e-08	1.4171044e-08	1.30368315e-08	1.190490815e-08	1.20758022e-08	1.0552156e-08	8.3352649e-09	1.2200711e-08	1.130647085e-08	4.47451925e-09	3.8272432e-09
v	0.946820741667	0.0519383430717	0.00103294297883	0.000207502634167	3.192474695e-07	3.41043035e-08	1.93485508333e-08	1.227344945e-08	1.13635711233e-08	1.02494586667e-08	1.18959683267e-08	1.120108818e-08	9.87361521667e-09	1.00970391333e-08	8.53689517667e-09	6.38137315333e-09	1.01714473467e-08	9.28568769333e-09	2.43609314267e-09	1.78717290367e-09
ò	0.708000690556	0.289893051024	0.00183333772628	0.000272676937656	1.67828130833e-07	2.44345231667e-08	1.72964532778e-08	1.27237931833e-08	1.08290071144e-08	4.1829294889e-09	9.17472843557e-09	4.39391517333e-09	6.23848007222e-09	4.4137122111e-09	4.52624146889e-09	2.74388107111e-09	3.62306239557e-09	3.51517260778e-09	1.21283997356e-09	6.94257031557e-10
d	0.427116153519	0.550921940341	0.0218115533754	0.000150240748819	8.30448089443e-08	1.70948895556e-08	1.55741964593e-08	1.27272916611e-08	1.06794054048e-08	1.9840565563e-09	8.16751921852e-09	2.11030634778e-09	5.08968257741e-09	2.5522997037e-09	3.19701590296e-09	1.47984684037e-09	1.41260961652e-09	1.56880417593e-09	8.1382720852e-10	3.27046154019e-10
ò	0.306796534506	0.652958313447	0.0400854311251	0.000159602749606	9.14311473148e-08	1.63050210185e-08	2.23451608531e-08	1.50336621537e-08	9.7511615016e-09	1.45381227877e-09	7.22031614617e-09	1.55986720593e-09	3.31057591247e-09	1.7080265679e-09	1.92311694765e-09	1.20256493012e-09	6.53895063507e-10	7.34435998643e-10	6.6975968684e-10	1.51466201506e-10
p	0.222758521502	0.678851337816	0.097829750375	0.000560148773202	1.89316305772e-07	2.28546763395e-08	2.83731196177e-08	1.57409865846e-08	9.3726693672e-09	1.24453052959e-09	6.90596381206e-09	1.27958655531e-09	2.64890007749e-09	1.36253592263e-09	1.47400480922e-09	1.08329672671e-09	4.03120131169e-10	4.57188909548e-10	6.09940070947e-10	9.2055242102e-11
o	0.186965030501	0.633221545939	0.178643053458	0.00117010245773	2.33742335257e-07	1.91057547798e-08	2.10703565392e-08	6.43380879487e-09	3.6673271224e-09	1.67645624653e-09	2.56769033402e-09	1.38930337177e-09	1.4349892325e-09	7.8367887421e-10	7.1561832974e-10	1.29249612557e-09	3.18847747056e-10	3.28320146516e-10	4.48568088982e-10	1.61315888967e-10
j	0.190267830167	0.542433498646	0.215200804486	0.0520451389526	4.80986850051e-05	3.72905016759e-06	8.84483212846e-07	5.16586699829e-09	2.32213850747e-09	2.33221218218e-09	2.14352481134e-09	1.57280881059e-09	1.5317710775e-09	6.4398591807e-10	4.99133849913e-10	1.41498282186e-09	3.17570709019e-10	2.94073168839e-10	4.03103542994e-10	1.85053198656e-10
u	0.154362113389	0.372757422882	0.365775751495	0.107018822984	7.88274796684e-05	5.20659012253e-06	1.83338943762e-06	7.3962676661e-09	2.14423876916e-09	2.01646212739e-09	2.33716150378e-09	1.11498902353e-09	1.35028864917e-09	4.28869616023e-10	3.32269563304e-10	9.1199142062e-10	2.43665129673e-10	2.27887549613e-10	2.47912210998e-10	1.35221525219e-10
r	0.0990627911297	0.243102590961	0.502134150498	0.151389824328	0.00399651081789	0.000269480345774	4.45679986459e-05	6.7324443222e-08	8.19345518972e-09	1.51422214246e-09	6.80728366793e-09	8.33388781177e-10	2.86764977306e-09	4.85812622008e-10	5.79746927768e-10	7.1282554354e-10	2.25504499891e-10	2.95655963204e-10	2.43984963666e-10	1.21006815406e-10
