 	l	ha	scritta	</S>
t	0.9660252	0.0338104239	0.00016305962225	1.35504084e-06
o	0.682571003333	0.3173700033	5.72536299833e-05	1.73009240667e-06
è	0.321284374444	0.676454167767	0.000907835117728	0.00135359268734
g	0.201307158148	0.642877085922	0.145461703573	0.0103540463291
r	0.325914972716	0.444780691974	0.217216493191	0.012087864283
a	0.337248074905	0.304118253991	0.256748896397	0.101884772601
t	0.144650739635	0.189980884664	0.449641672132	0.215726690867
s	0.113099207212	0.117572748221	0.608715924044	0.160612133956
e	0.099698107404	0.0733793740737	0.568138221348	0.258784324985
</S>	0.064525751202	0.0553473340369	0.449926530674	0.430200412492
