 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.9942023	0.005622639665	0.0001260648225	4.0655774e-05	7.29532805e-06	9.71945175e-07	6.2726202e-08	2.98651785e-08	2.53043645e-08
n	0.795022823333	0.193298018222	0.0100059846825	0.00164113612967	3.13191963833e-05	7.07774258333e-07	3.62801236667e-08	1.5680492e-08	1.18034551873e-08
è	0.470597974444	0.487096499407	0.0398229278942	0.00244264829322	3.94219827944e-05	5.17576502778e-07	2.38884102222e-08	8.22471316667e-09	5.0048016831e-09
n	0.286006934815	0.623941316469	0.0826319626314	0.00733923501441	7.95974349315e-05	9.12685434259e-07	1.70276654074e-08	5.79815755556e-09	2.7729847377e-09
a	0.206718168272	0.652153092156	0.124736860877	0.0162613156715	0.000129232178311	1.31256916142e-06	1.22146774691e-08	2.42652383185e-09	1.27339302257e-09
m	0.134897339424	0.472498049052	0.222524346959	0.168113591557	0.0018862078561	7.48428723371e-05	5.63828465882e-06	9.69783442395e-09	1.34872470752e-09
i	0.0920254381413	0.299089948017	0.369115635653	0.237032653852	0.00262534748537	0.000103467840446	7.51485646761e-06	1.25880281413e-08	2.30023976917e-09
l	0.0758766803804	0.243274749339	0.447964695218	0.230817461284	0.00191057852846	0.000148196119815	7.6011467372e-06	4.82831433804e-08	2.87794055639e-09
ì	0.0659140981268	0.180672523113	0.422205665073	0.322185913761	0.00870192017615	0.000311341166605	8.28624827907e-06	1.1215674446e-07	1.30841550785e-07
s	0.0613112153756	0.165441197704	0.352729711691	0.34888907792	0.0701208467254	0.00148409006553	2.35659074597e-05	1.1283300282e-07	1.77720446595e-07
i	0.0716585724585	0.154810432568	0.295116633897	0.365166459307	0.109121995575	0.00409250128851	3.32437288199e-05	7.66814936067e-08	1.01008295198e-07
m	0.0796123881528	0.129507727523	0.231594471299	0.405773766436	0.147724528525	0.0049890040295	0.000759651227273	3.79393966359e-05	5.53626491733e-07
b	0.0423523123843	0.178237909174	0.209785733766	0.396643882145	0.168409437508	0.00348568970983	0.00103322488576	5.1120144712e-05	7.16490360578e-07
r	0.0224090964614	0.220223033058	0.213550024589	0.450494140715	0.090990394836	0.00191754981661	0.00039776934092	1.7721549504e-05	2.96236094526e-07
ò	0.0326373354871	0.156851261019	0.212296958196	0.550404280238	0.042667122612	0.00360857008554	0.00150084504931	2.6467795268e-05	7.15056550918e-06
s	0.0431317884957	0.10299697934	0.176522892732	0.456990503413	0.203263844204	0.0140300186952	0.00296198471644	9.15567684227e-05	1.04023175031e-05
t	0.0389129228319	0.113738795447	0.125890620911	0.304879484471	0.396959581401	0.0170725967984	0.00244662940548	9.34058690409e-05	5.94676400103e-06
i	0.0494632242773	0.126405237149	0.10943777697	0.202943644824	0.365174617134	0.128910946166	0.0173682698018	0.00025076905258	4.54879578337e-05
n	0.0630456980924	0.0910449210497	0.0917924556567	0.138389524941	0.273610752378	0.306604012055	0.0349888396006	0.00043139914086	9.23549359446e-05
A	0.0720986960308	0.0836438490166	0.0904883652189	0.123619761647	0.204790874126	0.362411610685	0.0598613108669	0.00272906843695	0.000356422448648
n	0.0724247436769	0.0777624000055	0.084124160073	0.118114553882	0.203901381375	0.327002810228	0.112555023622	0.00357787702232	0.000537045522883
n	0.106192479559	0.117147628335	0.0970397583577	0.150861041294	0.196039392458	0.224013023409	0.106785501207	0.00156197565077	0.000359236464294
a	0.113633941186	0.125838426112	0.0951721227859	0.142436567098	0.120420743819	0.230996701136	0.149047427069	0.0152103543169	0.0072437646881
à	0.060240136062	0.0647251393707	0.055568934262	0.0738812066993	0.086799202273	0.322082967045	0.262408312356	0.0626611431056	0.0116329817627
t	0.039233104354	0.0440698471236	0.041163049754	0.0528062275664	0.080541464091	0.294818839015	0.350393317452	0.0870233930352	0.0099507361209
s	0.0385243994513	0.0812518823745	0.0606224182513	0.0498176501888	0.087966284697	0.188280733005	0.424350105817	0.0577710820117	0.0114153910403
e	0.0370228748171	0.0893840474582	0.0633819634171	0.0436250433963	0.0783536095657	0.105086291002	0.372440998606	0.0910605763372	0.119644545347
t	0.026968268939	0.0517991224861	0.0402424534724	0.0344579354654	0.0512914271886	0.0993486736673	0.334477719535	0.194150375446	0.167264000449
ù	0.0204445119797	0.0359870414954	0.0292519674908	0.0280239451551	0.0385151887295	0.0881681565558	0.294574216512	0.274204755149	0.19083020215
o	0.0355409273266	0.0407636231651	0.0385743538303	0.0346626540517	0.0369469849098	0.0867698141853	0.200385002171	0.301530378383	0.224826240717
</S>	0.0495954536633	0.0522464545825	0.0511928319151	0.0437442120259	0.0420331949549	0.106219862093	0.181525716085	0.298245259192	0.175196995359
