 	non	ha	mangiato	mai	un	rustico	</S>
e	0.98947715	0.01008263862	0.00038130839	4.0926368e-05	1.748392565e-05	3.04273245e-07	1.7424067e-07
n	0.753340196667	0.23175183954	0.0143415037733	0.000528517989333	3.77490313167e-05	1.16094757767e-07	9.62278401633e-08
è	0.389272325556	0.42929261318	0.180389523258	0.000997787796444	4.77068327722e-05	4.3336867689e-08	5.26383755511e-08
c	0.190692225185	0.33813073106	0.435777117753	0.0350390040655	0.000360821476591	5.13692148963e-08	9.55143471837e-08
h	0.110480885062	0.41152815702	0.411141005918	0.0663106690218	0.00053902547553	2.02964264965e-07	9.42560717279e-08
i	0.0808468450207	0.45751737234	0.366675238639	0.0940823973406	0.00087753940851	4.20542338322e-07	2.09090619909e-07
f	0.0875402716736	0.410950527447	0.38428134288	0.11456843578	0.00262623460284	2.79377467794e-05	5.2184680533e-06
a	0.0982861205579	0.348539449149	0.357984354293	0.185866998593	0.00926660996761	4.82219542598e-05	8.1681042511e-06
m	0.0967000368526	0.22432023305	0.326443558098	0.334194972864	0.0148363619892	0.00282729194342	0.00067748501465
è	0.0829784589509	0.159096432017	0.221732692699	0.424594307621	0.106638875663	0.00402826234781	0.00093093540155
n	0.0551659796503	0.0850868140057	0.221977197566	0.435632625874	0.199951535221	0.0018051185826	0.00038069117385
a	0.0444221155501	0.0565272416686	0.193395089189	0.376744491958	0.32371863174	0.0020107277942	0.00318170710128
m	0.05881152085	0.0687940218895	0.113980671396	0.393878290653	0.306946044913	0.0415203554314	0.0160691287004
à	0.06483053695	0.0736607439632	0.083787971132	0.371943466884	0.294660372638	0.0777446571438	0.0333722705668
i	0.0465999589833	0.0508435939877	0.065934176044	0.251750012295	0.476149947546	0.0714076190479	0.0373146661889
è	0.0415676123278	0.0439219773292	0.0571876730147	0.183196364098	0.487456149182	0.152303886349	0.034366292063
n	0.0648304101093	0.0662060991097	0.0757068533382	0.153270194699	0.420739256394	0.18223935345	0.0370078086877
a	0.0840914467031	0.0849597263699	0.0908310757794	0.134937571566	0.323481602131	0.228627552483	0.0530710308959
n	0.0628234365677	0.06343069879	0.0671320202598	0.095438760522	0.224542287377	0.384629757494	0.102003060299
r	0.0438989698559	0.0560213545967	0.0382335014199	0.0711566268407	0.146130189126	0.512123345831	0.132436033433
ù	0.0335414572853	0.0493836761989	0.0236752534733	0.0519666689469	0.086525553042	0.524081021944	0.230826387811
s	0.0234879584284	0.028962071733	0.0212915911578	0.037528709649	0.089377521014	0.432951650648	0.366400515937
t	0.0428533214761	0.102183020578	0.0279747770526	0.0533949982163	0.0885580936713	0.410794763549	0.274241044979
i	0.053251152492	0.130410309526	0.0335878523509	0.0583762477388	0.0666075692238	0.36400812785	0.293758757993
k	0.036666095164	0.0629047925087	0.029538134117	0.0406366885796	0.0497876544079	0.341957002617	0.438509635998
o	0.0340874640547	0.0433684288362	0.031111829039	0.0374213888599	0.0455509714693	0.318600344206	0.489859568666
</S>	0.0363602320274	0.0410665814181	0.0350136960195	0.0387249594299	0.0458202407346	0.262313622103	0.540700669333
