 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
e	0.993169075	0.0043729935	0.00238015312835	5.1940702474e-05	1.96721404815e-05	6.932566145e-07	1.640702915e-06	3.211698165e-07	2.9269237615e-07	2.879462963e-07	2.832825739e-07	2.805959775e-07	3.0176244275e-07	3.212985176e-07	2.8722048735e-07	2.862721775e-07	2.881918394e-07	2.965195698e-07	3.739472323e-07	2.849442539e-07
M	0.678410348333	0.2976434075	0.0239198244617	1.78228268407e-05	6.57559174917e-06	2.31830509117e-07	5.49547694883e-07	1.08389827607e-07	9.86501518833e-08	9.71218945113e-08	9.56272679533e-08	9.473929962e-08	1.01811285883e-07	1.08336637497e-07	9.68689374153e-08	9.660802069e-08	9.72093479813e-08	1.00054848777e-07	1.259089642e-07	9.5214082017e-08
a	0.515581839444	0.4528932025	0.0315146693206	7.27766631357e-06	2.33976107406e-06	8.86299876557e-08	1.87045352844e-07	4.94593959757e-08	3.78121130278e-08	3.36729677151e-08	3.21765413578e-08	3.243625786e-08	3.50733190943e-08	3.73616638957e-08	3.25310360804e-08	3.23573982267e-08	3.25624786751e-08	3.42392084023e-08	4.21914277667e-08	3.18707271827e-08
r	0.570987799815	0.410368394167	0.0186297322735	4.60594843786e-06	8.53621158135e-06	7.43839319219e-07	7.65685722813e-08	3.48399076586e-08	2.21702868426e-08	1.27104922584e-08	1.10048802003e-08	1.17119376533e-08	1.31012945648e-08	1.39988288319e-08	1.10616779611e-08	1.09097025496e-08	1.09926051304e-08	1.24677152674e-08	1.42254700522e-08	1.07553332732e-08
ì	0.578405486605	0.394349691389	0.0272266130912	5.51311781262e-06	1.16591484604e-05	9.56640582406e-07	5.83343240938e-08	3.83787458862e-08	2.35732814475e-08	7.53044510613e-09	4.06942052777e-09	4.4113614511e-09	5.28006305493e-09	5.73559754397e-09	3.9877273347e-09	3.7970509072e-09	3.82296397547e-09	4.78559718913e-09	4.92594474073e-09	3.65510489673e-09
a	0.506941692202	0.43096362713	0.0618891186971	0.000196624310938	8.5597570868e-06	3.29121283135e-07	4.52578443646e-08	3.47768303954e-08	1.94666158792e-08	5.68649226204e-09	1.86176457592e-09	2.0247044037e-09	2.47057340164e-09	2.74372862799e-09	1.71953100157e-09	1.5313955524e-09	1.52169042516e-09	2.12900947304e-09	1.90013342024e-09	1.29828730424e-09
p	0.248945974067	0.609147259043	0.140858799566	0.000971453436979	7.61404220289e-05	1.85926167378e-07	1.69910654455e-07	1.72257022318e-08	6.7895307364e-09	2.02934035068e-09	7.4619204664e-10	8.12591684567e-10	1.03369706721e-09	1.16185422266e-09	6.78985565857e-10	6.27592646467e-10	6.20887719053e-10	8.8663847768e-10	8.3681620008e-10	4.46349741513e-10
e	0.130311076689	0.514202003014	0.354118529855	0.00126963119899	9.83899796763e-05	1.47029324459e-07	2.11535060152e-07	1.62495160773e-08	3.20609162547e-09	8.2252283356e-10	3.09588573547e-10	3.87158948189e-10	5.4373954907e-10	6.4370108422e-10	2.78760213952e-10	2.57213034489e-10	2.60016260351e-10	4.3809701256e-10	4.10348990027e-10	1.90811108604e-10
r	0.0787879122297	0.416134307671	0.498597476618	0.001369825653	0.00509541645889	1.32886441168e-05	1.71626617205e-06	7.27632070258e-08	2.34623052085e-08	2.61519955785e-09	2.25807667849e-10	3.24070816063e-10	7.94238926357e-10	1.02948483807e-09	1.80722161317e-10	1.32460474496e-10	1.39437750117e-10	5.0052384752e-10	2.29142630009e-10	1.10859402868e-10
ò	0.0783060370766	0.417711182557	0.495135692206	0.00171917701767	0.0070968629863	2.79531747056e-05	2.82833032402e-06	1.83418992342e-07	6.36784650695e-08	1.86195761193e-08	7.22928662928e-09	1.3788399082e-08	4.44978707545e-09	1.08709328794e-08	3.63530041711e-09	6.82962904499e-10	3.64606630039e-10	1.76693544917e-09	2.9828646667e-10	4.60641294289e-10
