 	i	bambini	non	si	vestono	da	soli	</S>
t	0.76202713	0.234446215	0.00348372455	4.2270514e-05	1.30029728e-07	4.177833738e-07	5.5541253753e-08	3.2516201975e-08
a	0.62074177	0.377091345	0.00213848161	2.82001377883e-05	5.64550882667e-08	1.41596891177e-07	1.8608153173e-08	1.10612821083e-08
p	0.46955022	0.454690095	0.00705969773	0.0682216248447	0.000377267524966	0.000100826065828	8.79950504777e-08	2.00149980836e-07
e	0.4222096	0.465282458333	0.0200972132433	0.0917728282816	0.000503105628665	0.000134405384069	1.11679107726e-07	2.64056857412e-07
t	0.292209203333	0.606125759444	0.0274330560811	0.0719466127605	0.0015608024299	0.00072423139015	1.19606480142e-07	1.83106516271e-07
ì	0.202836137778	0.461423413148	0.264973417027	0.0679319149202	0.00191352381907	0.00092125430265	1.29723878714e-07	1.75230235424e-07
a	0.109325275926	0.264684737716	0.540070519009	0.0849514956401	0.000658809985457	0.000309001669317	5.21211094713e-08	8.13391854747e-08
e	0.0970311139753	0.183077515905	0.525724006336	0.193140648547	0.000830607731819	0.000195675365606	6.51753743904e-08	3.27296772158e-07
n	0.112824188325	0.149142768635	0.394145425445	0.266145582849	0.0716366756106	0.00610271786854	5.36502384797e-07	2.05679699072e-06
i	0.101443219108	0.117239779545	0.297318005148	0.303706577616	0.15442905187	0.0258052719562	7.92328288266e-07	5.72614513302e-05
n	0.072048856036	0.0796145108483	0.239649828383	0.287626002539	0.25928569729	0.0616372259854	2.78785822894e-05	0.00010996711911
d	0.164822713679	0.0554992789494	0.133963339061	0.180109452846	0.235822757897	0.229618613995	6.91771054298e-05	9.465654337e-05
ì	0.187604687226	0.0397510229831	0.117712699287	0.167394069615	0.205047731432	0.282193234665	0.000116230845143	0.000180315086123
n	0.0750959904087	0.0307967843277	0.206733876429	0.258483956538	0.203748481477	0.224017464888	0.000136737288381	0.000986707622041
n	0.0398809561362	0.0285138161092	0.169643807143	0.372575902179	0.0808884848257	0.307094921629	9.38772127937e-05	0.00130825114068
o	0.0323244260454	0.0286330057031	0.0853121840477	0.329759060726	0.101919594942	0.415870683876	0.000117368624265	0.00606368398023
t	0.0347112170151	0.0321317895677	0.0555953153492	0.172958546909	0.207762624981	0.486133371292	0.00248684633809	0.00822029586008
t	0.032281673005	0.0280936798559	0.0266827784497	0.178364882303	0.17181450346	0.555071523764	0.0035447420127	0.00414621672003
e	0.0373709386683	0.0344291942853	0.0357548288166	0.173761120768	0.09482577962	0.576716581255	0.00307113290423	0.0440704268067
m	0.0443920048894	0.0398593564284	0.0351624842722	0.0976598435893	0.124160109873	0.527719443752	0.0553472879681	0.0756994656022
a	0.0423941666298	0.0372163018095	0.0294458110907	0.0656320095298	0.143842686624	0.464689337917	0.0861804093227	0.130599245201
n	0.0368058022099	0.0351770449365	0.0385779253636	0.0559368175099	0.187414978875	0.403388219306	0.0799875197742	0.162711655067
e	0.0290055734033	0.0285314496455	0.0354311217879	0.0459294818366	0.205255409625	0.348813013102	0.186839513258	0.120194405022
c	0.0269280688011	0.0268037475485	0.0307570069293	0.0362667179455	0.141879916542	0.245824074367	0.290839024419	0.200701448341
h	0.0306574446004	0.0284621165162	0.0207472168431	0.0419125426485	0.0767683388473	0.335154138122	0.261662311473	0.204635907447
à	0.0309285482001	0.0280636608387	0.0174553818144	0.0435417002162	0.0658844596158	0.384278669374	0.180036142491	0.249811427149
t	0.0314340200667	0.0297600062796	0.0211690232715	0.0383741110721	0.0876722248719	0.251779686458	0.19214724283	0.34766365905
u	0.0342421090222	0.0331978217599	0.0239190990905	0.037909694024	0.071013935624	0.158317467153	0.241523944277	0.399875903017
</S>	0.0319207145111	0.03178339438	0.0267557095453	0.034324091012	0.051505016312	0.0994290310765	0.237953617138	0.486328401508
