 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.859449355	0.0159131666	0.124609962	1.10634342e-05	2.1757082e-06	1.40480315e-05	1.6218146e-07	5.3950841e-08	2.6470292e-08
n	0.641833768333	0.118496823533	0.238647160667	0.00100881553587	2.9444806e-06	1.03355475e-05	1.32421916667e-07	4.069333185e-08	1.41851894817e-08
e	0.363755282778	0.256814684511	0.377884620222	0.00153728491196	2.30245079333e-06	5.77713926667e-06	5.38406420557e-08	1.39860253333e-08	4.80491558223e-09
s	0.189675817593	0.31488048817	0.483440273407	0.0112060014707	0.000748815825891	4.49986345222e-05	3.58679975719e-06	2.96887849778e-08	1.35688074674e-08
p	0.242939729198	0.356259682723	0.384655501136	0.0150168159902	0.0010630828353	6.01537469407e-05	4.96996888573e-06	3.76762053259e-08	1.71263019225e-08
ì	0.269177943066	0.382253827574	0.329388410379	0.0187181948301	0.000433281251767	2.63062300802e-05	1.97335212858e-06	2.65315987753e-08	1.76242884075e-08
c	0.155176121022	0.386162049191	0.434096150126	0.0224695672767	0.00176183073059	0.000311078399027	2.31330095762e-05	4.82981195918e-08	1.72154661858e-08
c	0.0883553203407	0.425551183064	0.472352890042	0.0110792694589	0.00221884259353	0.000412331750342	3.00877961244e-05	4.47602815639e-08	5.89944203527e-09
e	0.0577384417802	0.347043001021	0.372920656681	0.218365101186	0.00365520998118	0.000266973154114	1.05768324071e-05	1.6597352088e-08	3.17998540176e-09
t	0.0793735522601	0.26052284034	0.324034818894	0.316196113729	0.0192802873271	0.000463297481371	0.000127827111569	1.26000897056e-06	5.49440726725e-09
s	0.08842547742	0.330747523447	0.414143232965	0.139136262076	0.0268776467757	0.00044492068379	0.00022309191719	1.75225241352e-06	1.17614141422e-07
a	0.06919292914	0.266987042482	0.318702416322	0.222025021525	0.121624537592	0.00131643494126	0.000150286139063	1.17159199451e-06	1.96044733807e-07
o	0.0602517950467	0.129966255494	0.150210522441	0.432912583842	0.194934869197	0.0311075415138	0.000612068293021	2.19134039817e-06	2.18087763127e-06
s	0.0566130436822	0.094337758498	0.10318473248	0.414656567947	0.289308279732	0.0409982551713	0.00086618085434	3.08217266994e-05	4.36274911042e-06
ò	0.0494877368941	0.0755103894993	0.0796781074933	0.294029775982	0.469532303244	0.0285743750571	0.00307155607478	0.0001064531639	9.31415993681e-06
z	0.0410479916314	0.0517354524998	0.0546669568311	0.290850271994	0.513396277748	0.0384445136857	0.00869807402493	0.000970802854633	0.000189629883312
o	0.0361917692105	0.0413572054999	0.043552384277	0.242878153998	0.417725832583	0.181781084562	0.0340131133416	0.00207485835154	0.000425543977771
s	0.0382347704035	0.0418605585	0.0429733224257	0.166717894666	0.412620717528	0.256681768187	0.0378892971139	0.00237273311718	0.000648924925924
p	0.0318018268012	0.0742007008333	0.0384237794752	0.122581656889	0.588884305843	0.127865779122	0.0133422348713	0.00197660120573	0.000923093308641
i	0.0262631499337	0.0799234942778	0.0315809018251	0.062340460963	0.495950248614	0.163291202767	0.101205878124	0.0265655963019	0.0128790333695
c	0.0304467499779	0.0484980404259	0.0320152239417	0.0575628836543	0.266237302871	0.334915077589	0.166314971041	0.0434100221006	0.0205997764565
c	0.045646873326	0.043489360142	0.0296984619806	0.0590331868848	0.389059490957	0.289169569196	0.0981947760137	0.0301677247002	0.0155406221522
è	0.0478801161087	0.0389771153807	0.0265134706602	0.0520592336283	0.414240486986	0.247189466399	0.136397006005	0.0218355119001	0.0149076117174
t	0.0373208037029	0.0348935721269	0.0307658062201	0.0510498918761	0.237032868995	0.353271822133	0.179198982002	0.0509207469667	0.0255455285725
s	0.0300392012343	0.0702131673756	0.0317725010734	0.0421413306254	0.382057909665	0.255865162344	0.0980884638007	0.0625024289889	0.0273198885242
i	0.0210824037448	0.0750879141252	0.0251865803578	0.0268481645418	0.387394773555	0.0998605290813	0.104676237734	0.14731251633	0.112550916841
t	0.0223573649149	0.0496536190417	0.0319364397859	0.0318438895139	0.163435311518	0.105040309694	0.130709381245	0.31110181211	0.153921919947
s	0.024597779305	0.142127185681	0.0563392239286	0.0357170665046	0.128426870506	0.0934079984647	0.0908521740817	0.345927524037	0.0826042253157
e	0.021135457435	0.15962171456	0.0521597753095	0.0257198505015	0.0959002851687	0.0419288663882	0.0986347496939	0.337130254679	0.167769056105
g	0.0225876118117	0.0703136601867	0.0343686057698	0.0259008471672	0.0538482340562	0.0571543324627	0.103192193231	0.42587754156	0.206756992035
r	0.0175931990872	0.0481548947289	0.0240534349233	0.0213975803224	0.0733802670187	0.0524759019209	0.059439544977	0.60812823052	0.0953769835783
à	0.0117988105124	0.0351414159096	0.0150897983078	0.0143466390408	0.0713233463396	0.0314679430736	0.0862379488923	0.58915899684	0.145435134093
t	0.0155761895041	0.0234745643032	0.0167814374359	0.0169932740136	0.0382946357799	0.0420302070245	0.161765126297	0.440235418947	0.244849151364
s	0.0125785487014	0.0870739614344	0.018757772812	0.0153686870045	0.0776695365933	0.0318715100315	0.126107661932	0.458214306316	0.172358017121
i	0.0125540851005	0.109569518811	0.0205262269373	0.0157541713348	0.0907757645311	0.0168732317005	0.0688087738107	0.451840178772	0.213298065707
</S>	0.0165981045503	0.0657600469055	0.0209433054686	0.0186808156674	0.0568425407656	0.0176978058502	0.0680512219053	0.405647954386	0.329778232853
