 	l	ho	sentito	quando	veniva	</S>
t	0.9173508	0.0821911766	0.000410681915	4.430186e-05	2.8243087643e-06	2.44373855935e-07
o	0.879033033333	0.1204546022	0.000482342605	2.89347449667e-05	9.432144838e-07	8.2232668535e-08
n	0.650170584444	0.339058394067	0.008978084755	0.00179133766329	6.291410141e-07	8.71733935445e-07
ì	0.314593602815	0.465965131356	0.179398453252	0.0400374917544	6.12505451367e-07	4.68190137848e-06
k	0.187185118938	0.361110877119	0.393758684417	0.0578838759181	3.37156609638e-05	2.77270817928e-05
u	0.155695289646	0.306742125706	0.484373261472	0.053048127306	4.81624493213e-05	9.30095405976e-05
s	0.134597153215	0.245936231902	0.508523970491	0.109944569102	0.00075073032544	0.000247347076866
a	0.116948811072	0.196170880634	0.401616743497	0.283523249701	0.00113089982515	0.000609449198955
m	0.106029055357	0.146951836878	0.266655477832	0.446022703234	0.0285842845251	0.00575669639965
ò	0.0971076834523	0.120594038959	0.196874455944	0.505074734411	0.061118708175	0.0192303674666
t	0.0871942544841	0.106690239653	0.172218138648	0.499472598137	0.090212912725	0.0442118104889
t	0.127158411495	0.0861924218843	0.186379069549	0.452066206046	0.107441017575	0.040762877563
e	0.138004237165	0.0702774439614	0.157610996516	0.361560915349	0.175400699192	0.0971457285877
è	0.0886186523883	0.0684617093205	0.104939730505	0.301693265116	0.296785203064	0.139501450863
r	0.0616125231294	0.0569273654402	0.0753552785017	0.253930365039	0.413106691021	0.139067771621
k	0.0394556357098	0.0326508701467	0.0473691385006	0.133800290013	0.631537063674	0.115187003794
a	0.0287330575699	0.0207805280489	0.0328466175002	0.0639715123377	0.620968221225	0.232700057851
t	0.03631649919	0.0324772480163	0.0384735038334	0.0579281347792	0.514041373742	0.320763222617
o	0.0422317223967	0.0397191460054	0.0435810469445	0.0569697849264	0.437553347914	0.379944947539
</S>	0.0388943751983	0.0376894330027	0.0397612384723	0.0487372924632	0.309015908957	0.52590174877
