 	non	sono	andati	</S>
e	0.98049558	0.01921621465	0.00016119097	0.0001270099415
n	0.91315176	0.08619972655	0.000265557846667	0.000382942327167
è	0.61916263	0.35262926885	0.0151943758156	0.0130137057424
c	0.295815982	0.549550489617	0.132189083272	0.0224444549141
h	0.189004549333	0.447341663206	0.347697317757	0.0159564853047
u	0.127058771111	0.332283687735	0.454848015919	0.0858094914349
n	0.084217465037	0.348551015912	0.43271656864	0.134514900478
e	0.065831129679	0.282662885304	0.429144399547	0.222361560159
p	0.0415329502263	0.123880298435	0.601796389849	0.23279034872
a	0.0317580817421	0.0620393928117	0.63203252995	0.274169994907
m	0.027736488914	0.0392769852706	0.647719409983	0.285267119636
è	0.0280991699713	0.0300014507569	0.620142886661	0.321756494545
n	0.0657000013238	0.069320134919	0.463264855554	0.401714998182
a	0.0833762437746	0.086022764973	0.374057678518	0.456543312727
</S>	0.0640537168873	0.0672228624865	0.268484914259	0.600238526363
