 	ho	messo	uno	specchio	sul	muro	</S>
è	0.994532525	0.00513810465	0.000236438815	4.03466197e-06	8.8462012425e-05	1.79233894e-07	2.596081075e-07
v	0.805185931667	0.19422337455	0.000344433638333	0.00018704444597	5.8756832425e-05	2.34505380667e-07	1.94408720833e-07
a	0.559792253889	0.43951517485	0.000394940056111	0.000248386333457	4.88029615817e-05	2.46315508056e-07	1.48766613611e-07
l	0.453978937963	0.54346377495	0.000426265962037	0.00207692252929	5.39181046339e-05	1.29756427185e-07	5.5544996537e-08
a	0.332997252654	0.65610811165	0.00808727152068	0.00275008290976	5.72152015446e-05	9.2393118895e-08	3.11913185123e-08
è	0.222534024218	0.620335323883	0.150047578174	0.00697237660325	0.000110382890515	5.75282127983e-08	3.02718250504e-07
n	0.224515208073	0.470341807961	0.245173949391	0.0565523122011	0.00340313526351	1.78693594427e-06	1.17970081935e-05
a	0.225367592691	0.302457425987	0.37093632313	0.0774407317337	0.0236321294212	4.57929728142e-06	0.000161218930398
n	0.14340758423	0.140312170662	0.493859564377	0.132588274911	0.0889222298071	0.000420609647227	0.000489570783466
j	0.0973559660767	0.108594105554	0.308332232126	0.315207278304	0.162606463269	0.00738531974908	0.000518621054489
a	0.0740068506922	0.095906158518	0.190732048042	0.369853719435	0.25669237109	0.0109987927497	0.00181003077816
l	0.0495401742307	0.065750360506	0.174341610681	0.349111709812	0.33847375703	0.0182719410832	0.00451042759272
ì	0.0441494280769	0.0563689221687	0.13313052156	0.314194343271	0.396341392343	0.0470702570277	0.00874515086424
s	0.0368277400256	0.0447724987229	0.138537477187	0.240058107757	0.419294187448	0.0845284643426	0.0359815469547
t	0.0465670186752	0.0831423765743	0.103482032396	0.220350035919	0.436962612483	0.0691515165609	0.0403443993516
o	0.0694032975584	0.113601462191	0.073827664132	0.176555325306	0.419351280828	0.0566631373003	0.0905978181505
t	0.0579193165195	0.0734705120637	0.0690072497107	0.114714575769	0.329963686943	0.144023555767	0.21090109605
ì	0.0384125848398	0.0441669366879	0.0489319849036	0.0719015912563	0.231414315648	0.343399075256	0.22177348535
c	0.0410593026133	0.043305407896	0.0474840083012	0.0617762424188	0.189927901883	0.385342428419	0.231104681783
h	0.0735826698711	0.0824562469653	0.0529110947671	0.0706902108063	0.285021070628	0.238287072806	0.197051607261
o	0.0749266272904	0.0858007106551	0.0441095002557	0.0576905892688	0.249668801876	0.251645467602	0.236158289087
</S>	0.0487385596452	0.0542178478276	0.0338488601279	0.0410369831344	0.143988178438	0.320229583801	0.357940004544
