 	non	ci	dimentichiamo	mai	</S>
e	0.9727833	0.026886142	0.000316352202	1.321879527e-05	1.01169262e-06
n	0.8961943	0.103531386667	0.000265671075333	8.14773260333e-06	4.72030584e-07
è	0.76995981	0.229155652222	0.000876553798444	7.61389350111e-06	3.74614225333e-07
n	0.58739687	0.407011784074	0.00550581776615	7.72842448004e-05	8.27441790844e-06
a	0.338689524667	0.648559081358	0.0126336260887	0.000103282227267	1.45117028028e-05
a	0.199458152889	0.618632857119	0.174501359363	0.00564845373476	0.0017591787071
l	0.175703774296	0.32420785404	0.455870826454	0.0413612439116	0.00285628626903
l	0.290990058099	0.226027693013	0.430094118818	0.0499292236372	0.00295889895634
i	0.303792009366	0.444878947671	0.216001429606	0.0322741052124	0.00305353448545
m	0.156111427455	0.432082052557	0.364132689869	0.0400239900708	0.00764988966182
o	0.131557030152	0.299817070852	0.51460227329	0.0409769600236	0.0130466785539
n	0.114798361384	0.279453813617	0.46079652443	0.0971571433412	0.047794133518
i	0.065360645128	0.169589646539	0.38708150481	0.31160322778	0.0663649551727
s	0.060641978376	0.10137243818	0.33960221827	0.372785715927	0.125597647058
t	0.0473024851253	0.0636206053933	0.537825572757	0.203868463309	0.147382891019
ù	0.0270592507084	0.0425110561311	0.478287144252	0.258982239103	0.193160325673
m	0.0248945992361	0.0341885017104	0.197634654751	0.432408313034	0.310873935224
e	0.0241412417454	0.0296303419035	0.104076241584	0.458428291011	0.383723895075
s	0.0247465812485	0.0263094513012	0.0633523458613	0.510150700337	0.375440945025
t	0.0297384900828	0.0269784577671	0.100942073954	0.624383736779	0.217957232008
a	0.0306191463609	0.0274214599224	0.106471125985	0.572521998926	0.262966234336
m	0.028962519787	0.0267082966408	0.0612777733283	0.515023812975	0.368027598112
à	0.0286219442623	0.0265922988803	0.0458057761094	0.487981644325	0.410998366037
i	0.0271404184208	0.0268340722934	0.0358373003698	0.390191208108	0.519997035346
</S>	0.0278569882104	0.0279487651467	0.0341665901849	0.358756654054	0.551271037673
