 	è	che	sono	usciti	</S>
è	0.97822062	0.0213403985	0.00037195492	5.5164065e-05	1.189268145e-05
n	0.78717922	0.1206373675	0.0899745101433	0.000687021628333	0.00152192072248
a	0.486486066667	0.379987179167	0.127410373381	0.00231412377611	0.00380225900749
g	0.265663268889	0.573655579722	0.0986213544603	0.0339896632587	0.0280701353358
u	0.122924613963	0.436110951241	0.250459178153	0.105144386086	0.0853608917786
ì	0.0697613989877	0.207001529747	0.438800409384	0.158228055362	0.126208600593
k	0.0898128229959	0.294478751249	0.357159429795	0.144888725121	0.113660283531
a	0.0962226256653	0.317453693083	0.223413303265	0.192602881707	0.17030750451
n	0.0541196562218	0.131829872028	0.205627604422	0.284394720569	0.324028131503
e	0.0410861650739	0.0687982290093	0.144966600141	0.250998276856	0.494150727168
</S>	0.0447229775369	0.0590202745046	0.109974968071	0.199484053428	0.586797728584
