 	dei	genitori	</S>
à	0.95540073	0.0351752031	0.00942402171
t	0.899905943333	0.0880450177	0.0120490269033
t	0.910225347778	0.0831161709942	0.00665848382223
u	0.959030129259	0.0376859417589	0.00328390522854
s	0.771972403086	0.136718660253	0.0913088885095
g	0.720518397695	0.159830390374	0.119651200886
e	0.600015105898	0.166231727081	0.233753191679
n	0.236208616966	0.404678315694	0.359113093893
i	0.0917558106553	0.516033418565	0.392210774631
t	0.0559068652184	0.435367006188	0.508726111544
ò	0.0510624457395	0.351779178729	0.597158390515
r	0.0382824609132	0.32523950291	0.636478030172
u	0.0387793623044	0.263361407637	0.697859210057
</S>	0.0423878891522	0.184206013818	0.773406105028
