 	non	vieni	alle	sette	perchè	io	non	sono	pronta	</S>
m	0.993436885	0.00628792575	0.000257322885	9.84694555e-06	4.91410205e-06	3.02346624e-06	2.575117661e-08	2.1886842768e-08	9.3011000485e-08	2.17340560015e-08
i	0.788555851667	0.21118234125	0.000254681745	3.78648373333e-06	2.19806167333e-06	1.14207402433e-06	9.83227151e-09	8.30611010133e-09	3.2213115785e-08	8.2346257015e-09
n	0.452563240556	0.489082760417	0.053598823025	0.00472566247276	2.15203205144e-05	7.88837429244e-06	7.86226774033e-08	8.15323936711e-09	1.25171370617e-08	4.12977056717e-09
d	0.223287376852	0.567891633472	0.125050531008	0.0699379471576	0.0129448164368	0.000887316899431	3.21940982468e-07	1.4467009789e-08	6.99483042057e-09	1.79922668572e-09
è	0.147990345617	0.512348277824	0.233905670336	0.0873096018192	0.0172693608789	0.00117634824864	3.43537946156e-07	2.0297313263e-08	1.00321750402e-08	1.41151154252e-08
l	0.145895108539	0.431349769275	0.382854436779	0.0309403471397	0.0077931746263	0.00116696573171	1.48513417385e-07	1.54117685877e-08	9.8362920134e-09	1.82315119151e-08
a	0.11435960618	0.348439779758	0.517712048926	0.0134295066132	0.00489162712877	0.00116733614057	7.28065236283e-08	7.25279702923e-09	4.25766378113e-09	6.72366824503e-09
à	0.100727243727	0.244929423253	0.614342289642	0.0365406893377	0.00282971379626	0.000630296756857	1.82596875709e-07	1.30313404343e-07	5.42372370371e-09	3.59805625817e-08
l	0.103731382909	0.201298234418	0.556919379881	0.113552559779	0.0217482373654	0.00273909569895	9.00688415857e-06	1.86170131145e-06	1.26695800901e-07	1.16133144194e-07
l	0.128947187636	0.152369078139	0.38372144996	0.12164082126	0.208189103788	0.00509645239965	2.63263200529e-05	6.26988960382e-06	1.2757810003e-06	2.0310548914e-06
e	0.113520762545	0.0877694613797	0.229292196653	0.177293721753	0.358392081263	0.0330568491332	0.000640677285351	2.99069578679e-05	1.61097877677e-06	2.76994963047e-06
s	0.059183025515	0.0583554214599	0.148096168884	0.316391947251	0.349479933754	0.0659979733777	0.00222423786178	0.000261733804623	8.25108276892e-06	1.33547557682e-06
è	0.0458452948383	0.0524985961533	0.119126576295	0.361359229084	0.312073324585	0.105115072793	0.00344452028726	0.000523064654874	1.28971054563e-05	1.46427015894e-06
t	0.0450106666128	0.0527985533844	0.115248595432	0.376879866361	0.290069261528	0.114612812931	0.00491799249575	0.000441239341625	8.7401123521e-06	1.23431613196e-05
t	0.0249731738709	0.0325092467948	0.0829838464773	0.292383285454	0.484202360509	0.078621113977	0.00410004676092	0.000206090459632	5.6321031507e-06	1.52290912885e-05
e	0.0316200862903	0.0358783565983	0.0593048401591	0.184364918485	0.48760104017	0.190763508992	0.00755661744931	0.00285480122897	1.22085044169e-05	4.35969966115e-05
k	0.0419728787634	0.0466844475328	0.064664630053	0.179550809495	0.27548569339	0.366593799664	0.0208353914831	0.00389605700966	0.000142401610472	0.000173894364204
a	0.0511551729211	0.0557078145109	0.070032973351	0.168192993165	0.196659607797	0.409257726555	0.039318350161	0.00836987360322	0.000668482426824	0.000637037541401
v	0.0544056089737	0.0600751781703	0.0693222857837	0.134338361055	0.141840797266	0.385952455518	0.0792737107203	0.0120875808677	0.0540312882089	0.0086727420138
ò	0.0355340126579	0.0413522660568	0.0475982582612	0.093507444685	0.0946481217553	0.296465981839	0.214568776907	0.0902387352892	0.0723574227696	0.0137289590046
e	0.028441571886	0.0304731113523	0.0338076610871	0.056925987895	0.0535032975851	0.172072593946	0.344727512302	0.229770125096	0.0342259096232	0.0160522206682
n	0.027674275962	0.0281484297841	0.030758796029	0.0433845612983	0.0339574115284	0.109626837982	0.387685670767	0.270481801699	0.0428899852077	0.0253922352227
ì	0.029133928654	0.0291400382614	0.0312409920097	0.0390243270994	0.0306508938428	0.081310610994	0.360615990256	0.304743837233	0.0670459050692	0.0270934717409
m	0.0282667735513	0.0292571910871	0.0301637600032	0.0351702330331	0.0321528999476	0.064071043998	0.306504606752	0.299371075744	0.154940945023	0.0201014619136
e	0.0320164345171	0.0338928303624	0.0341680600011	0.0375361616777	0.0364656676492	0.056863774666	0.226124185584	0.201258337248	0.283358081674	0.0583164479712
p	0.030494828839	0.0369366244541	0.0361075013337	0.0388763525592	0.0390088535497	0.048156546222	0.125130508528	0.116454496416	0.440036950558	0.0887973059904
r	0.0161848054263	0.023912404618	0.0249532409446	0.0329010205197	0.0958325598499	0.0412020044073	0.066761859076	0.050267925472	0.596043003519	0.0519411496635
ò	0.0117335246221	0.0146687936727	0.0172375291482	0.0258651348399	0.109232924617	0.0341855821358	0.061602462592	0.0883293964907	0.50551505784	0.131629607555
n	0.034429275874	0.0191911962242	0.0338161043827	0.0366571986133	0.0669896308723	0.0460808957119	0.0775471341973	0.12770044883	0.363958765947	0.193629372518
t	0.0384067242913	0.0170110479747	0.0374574421276	0.0446259175378	0.187021648291	0.085644911904	0.0476734361658	0.0724545600433	0.366898255316	0.102806055173
a	0.0249946300971	0.0176242835582	0.0265414420425	0.0355815055126	0.21276817743	0.0828307553013	0.0299375718219	0.0411277271144	0.307940825105	0.220653066058
</S>	0.0269907395485	0.0230870967791	0.0279073820212	0.0324975552563	0.121092280715	0.0564526896507	0.0336169184109	0.0446977035572	0.246857737553	0.386799883029
