 	vado	vestito	</S>
i	0.9965812	0.003335173	8.36283175e-05
p	0.9442618	0.0551700362333	0.000568181395833
à	0.8005207	0.195336372078	0.00414294086528
o	0.512028663333	0.467183677359	0.0207876636218
n	0.224910404444	0.669475635786	0.105613974541
d	0.138740214815	0.733292898595	0.127966897514
i	0.110459099605	0.669647006198	0.219893895171
m	0.0761415412017	0.619559138733	0.304299331724
è	0.0595392854006	0.552615622911	0.387845120575
n	0.0672879168002	0.517393014304	0.415319103525
o	0.0715086402667	0.461512684768	0.466978677842
</S>	0.0544792871333	0.314366242384	0.631154438921
