 	che	consuma	poco	benzina	</S>
n	0.98002772	0.019407948	0.00055169282	1.24813875e-05	1.655957325e-07
a	0.691568281333	0.307975790667	0.0004502958	5.57891075267e-06	6.21973595167e-08
k	0.403565048444	0.537845033556	0.0397478043667	0.0186122916775	0.000229866383967
o	0.318421409481	0.585474864519	0.0709799614556	0.0248151514833	0.000308632378222
n	0.20650612316	0.705696821506	0.0733490118185	0.0141509504186	0.000297070676307
s	0.30077624772	0.627796753835	0.0604442472728	0.0106119953262	0.000370729535436
u	0.303635805907	0.479757204612	0.211279684424	0.00501739762873	0.000309905928479
m	0.168662385302	0.490164274871	0.308213988141	0.0237909115429	0.00916844174949
è	0.120363639434	0.415771954957	0.414826836047	0.0357978958476	0.0132396674832
t	0.0763007558113	0.252072001652	0.623348295349	0.0244348412825	0.0238440627277
s	0.117533366937	0.208810303884	0.63391214845	0.0135307322142	0.0262133950292
i	0.148868862312	0.175314684628	0.652076082817	0.00709976252473	0.0166405911297
a	0.109968760771	0.135703713209	0.604421660939	0.120918906508	0.0289869420432
l	0.0848663769237	0.10319862607	0.41972386698	0.244166672169	0.148044455681
ì	0.0619379236412	0.0721984200233	0.23411395766	0.34004915739	0.29170056856
o	0.0378693418804	0.0430428866744	0.129392007887	0.450425282463	0.339270522853
b	0.0313535219601	0.0345396798915	0.088670014629	0.430684264154	0.414752547618
e	0.0311864519867	0.0329278802972	0.0615404418763	0.369859931385	0.504485315873
n	0.0285497693289	0.0295519624324	0.0466641122921	0.354015900462	0.541218251958
z	0.058396907443	0.0712354584775	0.0876379774307	0.330270300154	0.452459337319
ì	0.0676671888143	0.0844956758258	0.10098851981	0.326933160051	0.41991545244
n	0.0469907996048	0.0499312649419	0.0705414439367	0.333553400017	0.498983084147
a	0.0485320135349	0.046863008314	0.0651338666456	0.258890880006	0.580580228049
</S>	0.0477431642674	0.047345094157	0.0580305463228	0.199143780003	0.647737414025
