 	ha	che	sono	usciti	</S>
è	0.9793564	0.020143891	0.000421235485	6.59497075e-05	1.25383775e-05
n	0.81406442	0.114208350333	0.0699501616983	0.0005236171125	0.00125346122583
a	0.51243896	0.381127526778	0.100339724566	0.00218606550417	0.00390769820861
g	0.271947906667	0.579355342259	0.0917053021887	0.0306765478347	0.0263148808695
u	0.131468842222	0.439695640753	0.25474972073	0.0948819992782	0.0792037602898
ì	0.0730439074073	0.214946213584	0.449126653577	0.144173409759	0.118709770097
k	0.0982192791358	0.294169057861	0.363850694526	0.13521726192	0.108543686699
a	0.106327134045	0.312840485287	0.220990954842	0.187289329307	0.172552092233
n	0.0580460713483	0.130878757096	0.197493011614	0.277780006436	0.335802144078
e	0.0429113127828	0.068949355032	0.138191999205	0.244956842145	0.504990461359
</S>	0.0459606563914	0.059481917516	0.106787842603	0.195060321072	0.59270923068
