 	entrò	da	qui	</S>
m	0.99855452	0.001381112085	6.42081055e-05	1.27554541e-07
b	0.99866272	0.00131175496167	2.54653594833e-05	5.36343266667e-08
ì	0.75887775	0.241108193154	1.35761289778e-05	5.11413427889e-07
k	0.65716491	0.340480146051	0.00235242175616	2.54386734263e-06
e	0.64667238	0.348820107017	0.00443884455205	6.87012137809e-05
a	0.348747879333	0.361927889006	0.273863347051	0.0154608996946
p	0.287141169111	0.163563616335	0.52400899235	0.0252862042315
ò	0.256825243037	0.0842038421117	0.483325404117	0.17564547641
t	0.106483727679	0.0645351773706	0.508408174706	0.320572868803
t	0.21933385256	0.0572804371235	0.512497204902	0.210888453934
u	0.256429360853	0.0491518817078	0.378965921634	0.315452792311
</S>	0.147747545427	0.0459037828539	0.287581270817	0.518767376156
