 	il	muro	vuole	uno	specchio	</S>
o	0.99052555	0.00892625675	0.000546307405	8.430087e-07	1.91314075e-07	8.11428045e-07
t	0.70435625	0.28871586225	0.00691988725833	5.70620076667e-06	2.58424865e-07	1.96458684833e-06
ì	0.46370955	0.52698575075	0.00929461495278	7.55684705556e-06	2.66890065e-07	2.21027544944e-06
c	0.425511583333	0.56711526025	0.00736791051759	3.66752221852e-06	1.79506054933e-07	1.38115978315e-06
h	0.343358561111	0.648374203417	0.00826411970586	2.21418310617e-06	9.53802582443e-08	8.18317094383e-07
o	0.25034824837	0.572196724472	0.177382231769	7.11852836687e-05	9.12018044148e-08	1.52277083146e-06
t	0.13279080079	0.465015828157	0.40125323059	0.000575176561223	6.52011922365e-05	0.00029977435361
è	0.0934847602633	0.355254659386	0.54450556353	0.00612682632041	8.81404089122e-05	0.000540083671203
l	0.0714570824211	0.272028966462	0.648371187843	0.0076415473868	3.51707901374e-05	0.000466073043734
i	0.0945016031404	0.246672812154	0.644103312614	0.00824832440893	0.000989911299046	0.00548404271458
n	0.108145542713	0.180393752718	0.559750320871	0.036301985803	0.0412246217663	0.0741837689049
a	0.0776968459043	0.114803879573	0.396706966957	0.235390501934	0.0599349815888	0.115466816302
n	0.0529568679681	0.0708405005243	0.227342135652	0.356560880645	0.0954993215296	0.196800302101
g	0.048910488656	0.0482975861748	0.121209178551	0.203027517882	0.372244687177	0.206310574034
h	0.0489432442187	0.0426763963916	0.129836139517	0.0888501496273	0.608956762392	0.0807373113447
i	0.0328967360729	0.0336423981305	0.130285745839	0.0789168992091	0.536885840797	0.187372370448
a	0.023264198691	0.0247267797102	0.0698518089463	0.11237777307	0.411165856932	0.358613596816
l	0.0224515005637	0.0235763825701	0.0455107653154	0.10588420569	0.367946875644	0.434630282272
ì	0.0245397305212	0.02523237519	0.0360146397718	0.07492503323	0.338257748548	0.501030467424
</S>	0.0243482992606	0.024932340095	0.0327032448859	0.079135976615	0.314228409274	0.524651718712
