 	che	impara	una	cosa	che	studia	una	cosa	</S>
n	0.9261711	0.072015602	0.00177945635	2.732327075e-05	4.97411007e-06	1.3674025245e-06	8.61243775e-08	1.004739727e-08	8.60085904e-09
a	0.768962	0.222346542	0.00867771871667	1.14740650833e-05	1.68259232933e-06	4.69909373833e-07	3.19978484e-08	3.78000770333e-09	3.29412450667e-09
m	0.47523269	0.284888650667	0.0294768162389	0.180027783316	0.026429550207	0.00390164564497	4.28148420637e-05	1.57406203344e-08	6.76323430222e-09
à	0.264832566667	0.272335056889	0.182095137746	0.240239035492	0.0352390175685	0.00520204633646	5.70834142099e-05	2.20852291115e-08	1.14868801007e-08
t	0.191419588889	0.437700978963	0.265918419249	0.0914585075507	0.0117489088241	0.00173452000939	1.90430011703e-05	1.03662081372e-08	7.82424309357e-09
i	0.15271943963	0.419876089654	0.370990823083	0.0519079861836	0.0039202874245	0.000578934524497	6.4235407551e-06	3.9234373224e-09	2.95424460786e-09
è	0.0938676948767	0.246149946551	0.538470411028	0.119875637728	0.00143472013617	0.000198424838099	3.16306390503e-06	6.4588529508e-09	9.66467838595e-09
n	0.0934121066256	0.16911239885	0.472448617009	0.256611752576	0.00822749502539	0.0001812390037	6.38589533501e-06	1.09565883169e-08	2.0401373462e-08
a	0.108016375542	0.14474562295	0.350111079003	0.333996744192	0.0521860530085	0.0108814718079	6.2506302945e-05	3.15497347723e-08	1.28604299487e-07
p	0.110252745181	0.09553446765	0.207384278668	0.405501134731	0.140552181003	0.0391479442693	0.00160110938765	2.33133090916e-05	2.83787293983e-06
r	0.21870503506	0.0531668638833	0.098063220556	0.410661491577	0.178569033668	0.0383548196231	0.00244088272922	3.47394373639e-05	3.94449362328e-06
à	0.23331319102	0.0559639392944	0.161818268852	0.351480590526	0.126210589556	0.0589268860744	0.0122589981764	2.41207834546e-05	3.44054171776e-06
m	0.11019248734	0.0587498597648	0.186277256284	0.316740673509	0.235026871519	0.0775858503581	0.0153601023921	6.25456911515e-05	4.34631423925e-06
a	0.07128297478	0.0556678865883	0.117472882095	0.241729664503	0.40365722384	0.0969460251194	0.013061972464	0.000150850720384	3.05266672131e-05
n	0.0561868609267	0.0516510088628	0.088638917365	0.164508351501	0.402853447947	0.21708604504	0.018719268488	0.000282832130128	7.32728724044e-05
a	0.0388981043089	0.0374954622876	0.060675362455	0.108343138167	0.315024149316	0.34287064168	0.095608779496	0.000687855810043	0.000396527540801
s	0.036742094103	0.0334625107625	0.0387930261517	0.0779827837223	0.274069143105	0.410510037227	0.116045619065	0.01149445317	0.000900362780267
t	0.137820374701	0.0296100289208	0.0239160413839	0.0799015495741	0.328373231035	0.330893849076	0.0438339139217	0.02351272239	0.00213832142676
u	0.1672701329	0.0272428843069	0.0236053717946	0.068970098858	0.286753567012	0.275971606359	0.125583432974	0.0216332727967	0.00296966847559
d	0.0716475579667	0.025294064769	0.0274641765982	0.053045410286	0.212207832337	0.329699798786	0.155183548658	0.0512035449322	0.0742540438252
i	0.0376731949889	0.0224851942563	0.0257635841994	0.043060404762	0.162612894112	0.304850269595	0.206464470553	0.0899494816441	0.107140490942
è	0.0269159233296	0.0220368887521	0.0246960550665	0.0338649599207	0.113000199704	0.280657549865	0.355010253518	0.0924804638814	0.0513377029807
t	0.0235298927765	0.0219949432507	0.0233481286888	0.0308626919736	0.096954189568	0.272392703288	0.309917554506	0.178249081294	0.0427507996602
s	0.0964227142588	0.0213951867502	0.0166249903296	0.0342957889912	0.136047764523	0.196591082763	0.165159579502	0.298142713765	0.0353201910534
i	0.121781598086	0.0222962889167	0.0161603425432	0.0353429763304	0.138387067508	0.120487379254	0.167132237834	0.306144894588	0.0722672358511
è	0.0585796526953	0.0254628729722	0.0236891785144	0.0307900564435	0.0722773925027	0.105888926418	0.281410479278	0.309427641529	0.0924737962837
n	0.0406091468984	0.0295832589907	0.0292654535048	0.0321901458145	0.0519391315009	0.096152268806	0.296842073093	0.372444847176	0.0509736587612
a	0.0432322556328	0.0395474156636	0.0392871305016	0.0407198899382	0.0495190138336	0.075942019602	0.212987427698	0.409223095725	0.0895417285871
p	0.0498747342109	0.0406023655545	0.0310675929339	0.0458195933127	0.0548363346112	0.070320116534	0.106080659899	0.478621731908	0.122776866196
r	0.0394534020703	0.0264756948515	0.0119215068613	0.0331776258709	0.0496211805371	0.0528833085113	0.0416484762997	0.670482877303	0.0743359380653
à	0.0224579496901	0.0162924042838	0.0093362007371	0.0188852917236	0.0334821108457	0.0353044851704	0.0712556644332	0.637614025768	0.155371875355
m	0.02431346823	0.0220177577613	0.0168176249124	0.0229082449079	0.0296289642819	0.0391332143901	0.100130211478	0.464780475256	0.280270061785
a	0.03078559641	0.0300444175871	0.0252680389708	0.0301887463026	0.0330738617606	0.0386097037967	0.0725580854927	0.360200825085	0.379270760595
</S>	0.031985891205	0.0320217847936	0.0294845344854	0.0321038631513	0.0336998778803	0.0375955203983	0.0611258552464	0.273186162542	0.468796565297
