 	la	pasta	vuole	sale	</S>
i	0.576367685	0.4230924455	0.000525428425	7.527691e-06	6.842629335e-06
p	0.359071651667	0.635492961833	0.00529135239167	0.000136628389333	7.36292111167e-06
à	0.321782993889	0.662696407278	0.0153382171306	0.000178711680311	3.63772257056e-06
s	0.285655431296	0.698727342426	0.0154174797102	0.000192255320637	7.45406005685e-06
t	0.187352789765	0.805618157475	0.00682192552673	0.000198629921546	8.47579173895e-06
a	0.0980644125883	0.684111989158	0.216479356799	0.00129963171185	4.4611523633e-05
t	0.109284767529	0.446526619719	0.418662852266	0.00928238363728	0.0162433909245
è	0.106968615843	0.326559079906	0.495859640755	0.0435284842124	0.0270841836415
l	0.0859527386143	0.217266826635	0.592039803585	0.0822094897375	0.0225311092138
i	0.0672528385381	0.149034920545	0.460052551195	0.284019369913	0.0396402820713
à	0.044370653846	0.074859169515	0.293976700398	0.499928809971	0.0868646473571
l	0.036702761282	0.050162469505	0.232780136799	0.545176723324	0.135177912452
a	0.038577356094	0.044550807835	0.150713949933	0.490143774441	0.276014130817
</S>	0.039108589547	0.0423879929175	0.103901626467	0.415184587221	0.399417215409
