 	non	ha	che	li	aspettiamo	</S>
e	0.9755181	0.0240259649	0.00016439797	0.000253257685	3.0772056e-05	7.41623855e-06
n	0.767015726667	0.229823264967	0.00289614575667	0.000240984085	1.74499493333e-05	6.42971108e-06
è	0.438267428889	0.491214911656	0.0688970095856	0.00158175632833	8.23280404443e-06	3.07138727567e-05
n	0.220478587296	0.474094730552	0.297494286529	0.00766661317611	7.64947549481e-05	0.000189351544252
a	0.102657531765	0.290101268851	0.399944502176	0.203066798725	0.00283321829165	0.00139674734808
t	0.0871700055883	0.182376591617	0.345947707392	0.366148932908	0.00787380309722	0.0104830067827
u	0.0833353108628	0.142131803872	0.318808055797	0.411386927636	0.0254345376991	0.0189033682609
s	0.0594612199543	0.0944757879573	0.228172278599	0.395928269212	0.065464890233	0.156497525754
m	0.0841577606514	0.0877621359858	0.117590299533	0.207262331137	0.0627667475443	0.440460691918
ì	0.0872782202171	0.0810753609953	0.080345316511	0.178267061779	0.0505543566481	0.522479680639
n	0.058735485739	0.0901968726651	0.197532658837	0.248887240593	0.057597412216	0.347050353546
o	0.044622400913	0.0851632898884	0.210685349612	0.206029423531	0.151479224072	0.302020351182
m	0.0695577403043	0.0942328289628	0.156855739871	0.179078197844	0.211303124691	0.288972377061
e	0.0780173344348	0.0968240996543	0.135468093624	0.149293660281	0.224739401564	0.315657382354
</S>	0.0507050737174	0.0606836448271	0.082593897312	0.10448800164	0.280499935782	0.421029421177
