 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
a20	0.13275893	0.034627814	0.025245639	0.021606179	0.013689266	0.016491098	0.5729203	0.18266076
a46	0.6402289	0.2470787	0.0091710305	0.004428574	0.0029532134	0.00078829785	0.03615767	0.05919354
a39	0.8568558	0.043986987	0.0016172092	0.0006005793	0.0012284319	0.0002482702	0.090153605	0.005309177
a31	0.16938436	0.6822405	0.019791977	0.025008144	0.015837243	0.004755435	0.050069664	0.03291272
a20	0.10310622	0.055527538	5.2870895e-05	0.000428462	0.004016726	0.00039218678	0.8360331	0.00044295623
a31	0.0715335	0.22758159	0.17599194	0.20474696	0.15461496	0.0022977307	0.01628553	0.1469478
a15	0.3326935	0.084435396	0.079095595	0.40637204	0.058204193	0.0099743195	0.016863067	0.012361981
a11	0.31118202	0.56039965	0.019829901	0.07159753	0.0146508515	0.0058815745	0.004314961	0.012143527
a31	0.29374105	0.17888294	0.034084387	0.43706766	0.037955698	0.0030287642	0.0023612706	0.012878258
a46	0.13665076	0.23571222	0.033619545	0.3691647	0.14239138	0.0039136596	0.06899151	0.009556218
a31	0.07109221	0.58028454	0.043527648	0.08187066	0.011017484	0.014732706	0.05602231	0.14145254
a46	0.09202052	0.12016042	0.038354445	0.52335024	0.15674011	0.0017793311	0.057494152	0.010100806
a31	0.20315236	0.45777512	0.020310653	0.075303346	0.019107737	0.029868197	0.04443512	0.15004738
a15	0.051487498	0.10250063	0.083593816	0.41497836	0.12037705	0.0014034285	0.15482095	0.07083833
a31	0.38605747	0.36827323	0.012224347	0.06272547	0.029891599	0.045119174	0.055934727	0.039774038
a20	0.10138869	0.09768921	0.038542304	0.2764591	0.16293816	0.004726445	0.10775328	0.21050282
a18	0.49130008	0.23601629	0.011205364	0.08863873	0.045011513	0.043352757	0.06714248	0.017332777
a46	0.45186627	0.22880913	0.016755039	0.042785246	0.034615718	0.054874297	0.095305815	0.07498854
a31	0.37000892	0.15014006	0.026229339	0.05099779	0.04847207	0.09693031	0.14249505	0.114726424
a15	0.20826958	0.39011538	0.025058921	0.18483329	0.078824826	0.019826908	0.037584692	0.05548643
a31	0.38169873	0.16439217	0.041920584	0.06359389	0.057980478	0.09441761	0.14939328	0.046603195
a37	0.19186963	0.37463784	0.033154298	0.2040775	0.09469872	0.011042903	0.057193235	0.03332592
a35	0.3821158	0.17334935	0.042939965	0.079211615	0.060867015	0.07646049	0.13971798	0.045337815
a31	0.25690615	0.13080752	0.068866454	0.09099653	0.08367578	0.11478952	0.17868768	0.07527033
a46	0.15454982	0.3321018	0.057710744	0.23282464	0.0916219	0.01791277	0.07298259	0.040295817
a31	0.20033015	0.14651464	0.09350183	0.10892177	0.10066702	0.10452352	0.15107298	0.09446804
a11	0.12668319	0.23909508	0.072949514	0.2859651	0.11205349	0.021632671	0.09144109	0.050179802
a31	0.19790289	0.15189435	0.09224533	0.12146253	0.103042625	0.0973469	0.14285439	0.09325102
a46	0.1149375	0.18704833	0.07433163	0.32397005	0.12681067	0.023241397	0.09452879	0.05513163
a20	0.16946562	0.13333412	0.10341182	0.12531987	0.11122967	0.105830446	0.14726013	0.10414837
</S>	0.15365115	0.12924097	0.10077438	0.14932626	0.118514515	0.109954335	0.13552089	0.10301748
