 	lo	sentii	che	arrivò	</S>
a11	0.88104403	0.050769627	0.01843238	0.028993726	0.020760283
a31	0.026347954	0.4139267	0.46827608	0.015803654	0.07564559
a28	0.019097747	0.09584099	0.8840648	0.0009922546	4.2531e-06
a37	0.0882193	0.13839781	0.77183783	0.00029815966	0.0012468584
a20	0.40196362	0.3631276	0.2300534	0.0009998388	0.0038555323
a31	0.42279586	0.39967522	0.08209422	0.02756486	0.06786982
a1	0.5844822	0.20245604	0.08603044	0.03143238	0.095598996
a0	0.715346	0.2221091	0.012852819	0.016513422	0.033178832
a17	0.7847567	0.106249645	0.013512842	0.020567676	0.074913114
a31	0.5517959	0.124580294	0.037442334	0.08495962	0.2012219
a0	0.35341957	0.1553686	0.13173494	0.19211277	0.1673641
a46	0.6563669	0.18774584	0.05056071	0.057841126	0.04748543
a31	0.4371319	0.2051236	0.06446442	0.19471155	0.098568544
a18	0.15831587	0.29588073	0.11743468	0.27236035	0.15600832
a31	0.46066216	0.1663949	0.12781298	0.12358982	0.12154014
a39	0.17972578	0.2888568	0.16747941	0.196534	0.16740404
a31	0.30019605	0.18872052	0.16948223	0.17347094	0.16813028
a46	0.20151573	0.23937249	0.17656685	0.20017189	0.18237299
</S>	0.23979469	0.19474395	0.1857753	0.1926889	0.18699716
