 	si	è	rotta	la	coppa	</S>
a31	0.07282691	0.10755567	0.28093037	0.14803511	0.1510012	0.23965077
a20	0.42376235	0.06482278	0.25026718	0.12932752	0.0658009	0.06601927
a19	0.012255218	0.018315503	0.0150990505	0.06345827	0.848013	0.042858914
a18	0.19612208	0.14226188	0.04373013	0.2352177	0.35379595	0.028872278
a27	0.68992704	0.13898224	0.004253189	0.022270372	0.04394073	0.100626424
a31	0.5310636	0.10326191	0.02022876	0.07295989	0.07650405	0.19598171
a39	0.42220786	0.26395607	0.01912051	0.08238548	0.16297258	0.049357496
a31	0.24977288	0.102296025	0.119656645	0.046422314	0.05182321	0.43002898
a46	0.36761042	0.11866876	0.08900246	0.12209244	0.05632437	0.24630159
a31	0.29286018	0.18711045	0.15370868	0.07002671	0.07564562	0.22064838
a20	0.26682368	0.23447345	0.15500054	0.044432547	0.029247876	0.27002195
</S>	0.34290496	0.23424217	0.08889015	0.096737206	0.10050409	0.1367214
