 	non	so	cosa	stai	scrivendo	</S>
a31	0.040868044	0.44136184	0.019131135	0.042440396	0.12697724	0.32922137
a21	0.017344419	0.105260886	0.011267666	0.50581104	0.34460995	0.01570609
a31	0.017755603	0.2604981	0.27152473	0.22642593	0.07426012	0.14953549
a10	0.012234094	0.08971398	0.082275525	0.6180886	0.18471096	0.012976893
a7	0.024739211	0.04325818	0.054014076	0.566468	0.2745511	0.0369695
a41	0.5047427	0.32159734	0.04222633	0.037176292	0.05152643	0.042730927
a31	0.2786304	0.29407132	0.1041875	0.1422858	0.10814689	0.072678156
a8	0.08990307	0.15247548	0.42616323	0.22417553	0.08616295	0.021119708
a31	0.13679415	0.3184839	0.03060977	0.024481999	0.07814987	0.41148037
a8	0.060152516	0.09684188	0.17548245	0.124753185	0.3777974	0.16497256
a23	0.25374195	0.101722404	0.08213947	0.10380609	0.21434401	0.24424616
a8	0.042553715	0.17387739	0.024087349	0.05078249	0.135114	0.57358503
a31	0.061137237	0.231527	0.024806729	0.032471724	0.17835347	0.47170377
a21	0.057897363	0.13346824	0.045607843	0.030276379	0.5225468	0.21020342
a31	0.16385753	0.11306735	0.10483742	0.12118562	0.34025553	0.15679654
a24	0.16991198	0.03828235	0.13865961	0.051081482	0.4409864	0.16107821
a21	0.17366621	0.14406665	0.14566898	0.14993253	0.23050125	0.15616438
a31	0.15027273	0.15277986	0.14548884	0.14796612	0.23813191	0.16536054
a17	0.16305353	0.04579205	0.13296269	0.060566913	0.45172337	0.14590147
a20	0.17299391	0.16182792	0.16138406	0.16116627	0.17902164	0.16360626
a0	0.16513796	0.16940527	0.16089833	0.16065484	0.17485146	0.16905215
a31	0.1682901	0.17319822	0.1622417	0.16134122	0.16410907	0.17081968
a8	0.13732347	0.05501707	0.09418457	0.0650479	0.537457	0.11096998
a37	0.16891718	0.16583021	0.16576286	0.165008	0.16890493	0.16557673
</S>	0.15873758	0.15167516	0.15695438	0.15080342	0.22637844	0.15545103
