 	non	mi	aspetti	non	vengo	</S>
a33	0.026746955	0.021886887	0.03325749	0.02162373	0.20018536	0.6962996
a31	0.037088685	0.2618477	0.21192367	0.25994694	0.12530357	0.103889465
a37	0.000748946	0.20724234	0.5012982	0.008857257	0.2817859	6.742365e-05
a35	0.011154983	0.055694547	0.8247642	0.052468	0.055578537	0.00033967494
a31	0.29047763	0.185627	0.17811085	0.114090666	0.13586281	0.09583102
a7	0.1077366	0.26327604	0.33213672	0.16818231	0.08466009	0.044008248
a18	0.24904321	0.16221848	0.21678971	0.19509743	0.112595014	0.06425616
a24	0.13542712	0.059854507	0.112378426	0.19645086	0.3072749	0.18861422
a31	0.024333637	0.021675339	0.06898637	0.1602275	0.22672719	0.49804997
a20	0.0511084	0.49007925	0.33505708	0.022157613	0.030875253	0.07072243
a8	0.13674375	0.10990288	0.37309954	0.14451066	0.13300154	0.10274171
a31	0.19910654	0.18330558	0.19576113	0.107324526	0.14950696	0.16499524
</S>	0.030042315	0.105080016	0.19463678	0.20170389	0.24058561	0.22795138
