 	puoi	non	parlare	di	questo	con	Anna	</S>
a31	0.013197872	0.0044794516	0.022767719	0.013151234	0.03429895	0.046493564	0.3487194	0.51689184
a20	0.5732784	0.003322133	0.14755562	0.013765211	0.23190305	0.0012897983	0.018025668	0.010860161
a11	0.66084814	0.057940178	0.13490555	0.029912138	0.1063128	0.0011279274	0.0062985485	0.0026547418
a10	0.20946059	0.058456607	0.27173406	0.05908231	0.2905533	0.0028152664	0.05450044	0.053397447
a39	0.18699941	0.07286804	0.24552096	0.093779795	0.3006525	0.0017846399	0.043872252	0.054522425
a7	0.19420359	0.08184019	0.21943656	0.10572087	0.34506482	0.001638466	0.020085737	0.032009736
a37	0.2944211	0.087553926	0.12653418	0.049330547	0.40737894	0.0030155	0.013428429	0.018337376
a8	0.31265143	0.055264357	0.08479078	0.040778343	0.47794828	0.0045630545	0.010473483	0.0135302935
a18	0.23719235	0.08129558	0.10750027	0.038314324	0.51429707	0.0071437736	0.0060526975	0.00820401
a46	0.37554455	0.05589264	0.069880195	0.031004533	0.41385216	0.01407408	0.016845848	0.02290596
a31	0.26107356	0.03251362	0.06836489	0.046812464	0.46433133	0.052503124	0.031655993	0.04274495
a18	0.14228292	0.0060481913	0.019948935	0.010510366	0.7941385	0.0069995704	0.0107878465	0.0092837205
a24	0.509395	0.07993723	0.030346999	0.033025656	0.19396655	0.067149624	0.018694319	0.06748461
a28	0.46450242	0.033396013	0.039600395	0.04462833	0.27678996	0.04994295	0.032587014	0.058552943
a31	0.1919291	0.023927992	0.030472964	0.035879087	0.080408774	0.174105	0.14995885	0.3133182
a20	0.21110572	0.009128229	0.01440508	0.009749307	0.6540839	0.011461512	0.03812508	0.05194112
a31	0.32495612	0.038781393	0.025442094	0.03913054	0.07364962	0.16930361	0.06425978	0.26447687
a3	0.17162018	0.02584054	0.02275102	0.015850572	0.41398603	0.020722628	0.08398037	0.24524866
a31	0.3358716	0.06360216	0.044333763	0.049631294	0.07150942	0.1552278	0.0739933	0.2058306
a20	0.1901638	0.07568249	0.04225288	0.035874397	0.10288254	0.16330385	0.1542601	0.23558
a31	0.27837828	0.10711886	0.09152266	0.093113884	0.097396195	0.12392088	0.09394771	0.11460152
</S>	0.10249202	0.11187475	0.032386158	0.033058383	0.11126125	0.23915303	0.20712331	0.1626511
