 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a31	0.0016186363	0.0009938823	0.0025410189	0.0019235535	0.0056517622	0.024501812	0.036615964	0.088137195	0.13132654	0.1560416	0.014099329	0.121336795	0.4152119
a24	0.00029215126	4.603662e-05	0.00019142743	0.00012448132	0.00040411067	0.0064631323	0.0116144605	0.034136243	0.5587729	0.3825903	0.002821843	0.0024173704	0.00012556094
a28	0.0750533	0.1056772	0.049667556	0.0198938	0.0107011385	0.017107237	0.010288997	0.0153384125	0.14407106	0.5362723	0.0072600716	0.0060428344	0.0026261434
a39	0.06953712	0.055427983	0.064080454	0.035593156	0.014893036	0.057090838	0.07323342	0.14052847	0.13017164	0.2879662	0.026579423	0.022469014	0.022429276
a17	0.059334967	0.02609697	0.016523555	0.01347843	0.017050052	0.08356662	0.16130717	0.4102614	0.10672993	0.06468086	0.012201217	0.010968426	0.01780044
a31	0.040734448	0.01926671	0.009478122	0.008941261	0.014341144	0.055674944	0.1670614	0.5184205	0.08893378	0.032236356	0.011419939	0.012891843	0.020599594
a20	0.0637274	0.02619918	0.005454983	0.0025484299	0.003028596	0.005446806	0.016765125	0.044996362	0.10804561	0.5134854	0.043312047	0.14826055	0.018729549
a31	0.040263847	0.010864518	0.013619519	0.009946251	0.054251246	0.2077625	0.27592838	0.16645603	0.067163296	0.04301871	0.0038880755	0.022244632	0.08459306
a17	0.04214942	0.016850244	0.01651269	0.012189066	0.016823238	0.029574284	0.04996416	0.031420805	0.12387506	0.62459403	0.009122679	0.017463945	0.0094604455
a8	0.025137605	0.008912968	0.009762262	0.007463858	0.034571957	0.15122618	0.24360056	0.2619411	0.09327051	0.05946341	0.002815395	0.019145943	0.08268828
a31	0.09265731	0.061567932	0.030639498	0.03088546	0.06900583	0.1387591	0.12993485	0.26118913	0.09078374	0.05053348	0.0043313513	0.011005096	0.028707262
a8	0.04434924	0.018424537	0.018111372	0.010455083	0.011880085	0.018928964	0.03377225	0.021200486	0.100265235	0.6468738	0.017526593	0.04602448	0.012187914
a24	0.029328	0.009883716	0.011897731	0.009213356	0.042832136	0.18983324	0.25020403	0.22005484	0.06773103	0.05356673	0.0031456773	0.02022911	0.092080384
a31	0.08579897	0.05258564	0.045508426	0.04163653	0.08220119	0.1589103	0.15540425	0.23140484	0.056603484	0.03786211	0.0054012476	0.012714795	0.03396823
a20	0.045035154	0.018752847	0.030574743	0.016046342	0.019741254	0.027730512	0.043162595	0.038682327	0.14084825	0.49631423	0.028164169	0.072972775	0.021974811
a31	0.039249875	0.013474093	0.011470374	0.009361704	0.035642184	0.20866108	0.28505304	0.15637802	0.07020414	0.066911876	0.0025025553	0.014831286	0.08625973
a41	0.008618622	0.003773112	0.012470397	0.0069892174	0.015124277	0.026503006	0.041951746	0.04747422	0.30967978	0.44635156	0.015857818	0.0325844	0.032621834
a31	0.035133727	0.010482148	0.006718588	0.0064352397	0.020312909	0.10573437	0.19251667	0.072456405	0.24946319	0.28299442	0.0016339566	0.004089754	0.012028644
a13	0.0005050347	0.00024457494	0.0014540843	0.00065553345	0.0013667052	0.0032699683	0.0048331283	0.010462601	0.39792722	0.5462954	0.0054623806	0.015568326	0.011954957
a37	0.010632641	0.0027459648	0.0020411534	0.0018233688	0.0053576464	0.025274022	0.046327073	0.03740705	0.5242483	0.33954123	0.0013128399	0.0019788668	0.0013098585
a8	0.030652579	0.007002551	0.0065495176	0.0053821146	0.037706554	0.27473298	0.4850197	0.096331514	0.026675297	0.011852612	0.0016341174	0.0052315	0.011229021
a39	0.047413185	0.017671315	0.026555782	0.018199502	0.09655516	0.40330195	0.25711554	0.06874934	0.013099511	0.010395804	0.0036877193	0.011175195	0.026079977
a20	0.061454568	0.024160862	0.050540496	0.033320405	0.16884422	0.3879136	0.15310615	0.02904933	0.012570426	0.015799962	0.008076807	0.021606905	0.033556256
a24	0.06175576	0.01608413	0.029624974	0.022643315	0.18168	0.46493447	0.12699018	0.015421325	0.011217552	0.013224114	0.0076848627	0.017251378	0.0314879
a18	0.04819114	0.007137879	0.014536243	0.014489517	0.16614698	0.5149019	0.12860534	0.013974569	0.013811787	0.012913719	0.0076010013	0.016239224	0.041450754
a23	0.040055357	0.006183289	0.012511904	0.014577652	0.1406725	0.4702783	0.13397332	0.022603903	0.022639371	0.01950296	0.011856204	0.026213186	0.0789321
a24	0.029797144	0.007459345	0.013783047	0.017523654	0.12760913	0.38928849	0.14138412	0.034445643	0.031700324	0.026653804	0.01878347	0.037462704	0.12410908
a31	0.02498417	0.010095326	0.016973631	0.020737944	0.120659485	0.32802215	0.1595953	0.045659192	0.035777323	0.031015119	0.02281113	0.043905832	0.13976337
a20	0.04112629	0.017815948	0.031709816	0.023482224	0.06656663	0.2187437	0.08063971	0.013326614	0.0116486475	0.08887947	0.07922734	0.26154938	0.06528422
a3	0.09918588	0.016119143	0.037014805	0.053555574	0.18831904	0.23798493	0.1027108	0.025554406	0.05235239	0.051227707	0.028609043	0.031578176	0.075788096
a31	0.07233419	0.026660355	0.06541883	0.08505253	0.22439963	0.24294227	0.085724995	0.029629381	0.029990312	0.027075235	0.029094342	0.031620245	0.050057817
a13	0.056322057	0.031061191	0.07331392	0.049596462	0.07569657	0.121561356	0.044169087	0.009929192	0.010392732	0.07493365	0.114717655	0.286666	0.05164008
a31	0.10591442	0.019199915	0.047472235	0.06716862	0.20143545	0.22398105	0.086115696	0.023925787	0.049959578	0.048273467	0.029690033	0.030394632	0.0664692
a3	0.035839915	0.020402592	0.12762144	0.104138136	0.1180535	0.09737896	0.032631055	0.012709764	0.015467508	0.029838694	0.09243231	0.18052033	0.13296576
a20	0.07523733	0.027433712	0.06674385	0.09974934	0.26857477	0.20038925	0.061819285	0.026776036	0.038308766	0.03703295	0.03113471	0.028529212	0.03827079
a39	0.089639984	0.050579067	0.080566235	0.08941561	0.21245736	0.13959043	0.061637398	0.04325572	0.04352469	0.043172058	0.045454115	0.04885238	0.051855013
a20	0.109132834	0.06621489	0.0686013	0.0728036	0.13599272	0.1120448	0.076754086	0.058829874	0.057186507	0.05721564	0.056630116	0.059789255	0.06880441
a31	0.09721924	0.067421995	0.069284394	0.07311097	0.12109104	0.104514904	0.079133414	0.06402628	0.06255075	0.06212118	0.061933897	0.0643425	0.07324943
a24	0.051786125	0.043808535	0.085203886	0.06007559	0.0883926	0.055603668	0.023233723	0.015843961	0.019941542	0.07848721	0.16151287	0.26420936	0.051900927
a46	0.07460151	0.025661051	0.058842227	0.08884361	0.25931478	0.19314428	0.059380814	0.026868299	0.04857821	0.049470518	0.03293449	0.0319963	0.05036394
a31	0.07340738	0.061528552	0.08947708	0.08840766	0.15004726	0.1034316	0.06551055	0.057634935	0.058298744	0.05884975	0.060998984	0.06651858	0.065888986
a18	0.047533292	0.04350841	0.08542043	0.06955038	0.107219115	0.07006913	0.038688987	0.031756293	0.037064604	0.059851285	0.117788374	0.1685642	0.122985475
a31	0.06092492	0.028922133	0.064191654	0.096072935	0.261607	0.18189967	0.057143897	0.03138013	0.048310623	0.049478263	0.03562902	0.034966294	0.049473446
a20	0.020804036	0.019528605	0.025132587	0.023845397	0.044781726	0.02817171	0.014477481	0.019275779	0.084762566	0.09988728	0.17818555	0.22195396	0.2191933
a24	0.06386544	0.050940502	0.07132699	0.090043575	0.2231356	0.13679165	0.063446805	0.05005747	0.050960228	0.050801363	0.049867928	0.04895659	0.049805854
a31	0.0780517	0.07324982	0.07591163	0.07819102	0.0969618	0.08590864	0.075957395	0.072710976	0.07234936	0.07224911	0.07231253	0.072609395	0.07353665
a23	0.02322636	0.021270739	0.022189396	0.025126284	0.05187419	0.034370165	0.019933704	0.02195704	0.07402739	0.082709	0.18427657	0.20126109	0.23777805
a20	0.07269948	0.06802339	0.075184815	0.081606746	0.1285925	0.097459085	0.07263281	0.06760303	0.06743831	0.067452595	0.06704368	0.06696789	0.06729568
</S>	0.07474742	0.07191146	0.07599827	0.07915543	0.103106886	0.08820276	0.075477496	0.072066344	0.07170081	0.07154385	0.07163507	0.07183427	0.07261993
