 	avete	cucinato	le	verdure	</S>
a31	0.10434066	0.094493985	0.30826646	0.38847345	0.10442547
a46	0.6560943	0.15775633	0.073065504	0.04645274	0.06663103
a20	0.10634906	0.018942231	0.16549636	0.5985462	0.110666126
a31	0.22062466	0.16734213	0.39439222	0.19993669	0.017704347
a17	0.46627045	0.057480946	0.11844552	0.26503643	0.092766665
a31	0.58428574	0.018325943	0.09581197	0.14656666	0.1550097
a35	0.6470306	0.046480626	0.064302444	0.08969241	0.15249395
a31	0.25179365	0.08216921	0.06987377	0.12666075	0.46950263
a46	0.27912426	0.3337152	0.10041317	0.042734448	0.24401298
a38	0.26443708	0.32117712	0.13945279	0.14327838	0.13165455
a17	0.20860113	0.2521062	0.17439187	0.17270237	0.19219838
</S>	0.20260736	0.25994813	0.17147376	0.1719562	0.19401452
