 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a46	0.042545155	0.012784829	0.20416047	0.1400697	0.037724853	0.25884715	0.19356605	0.011800874	0.012081921	0.0016968731	0.0009827437	0.001962776	0.00810262	0.07367398
a31	0.04997571	0.15377222	0.16117072	0.28169093	0.08033241	0.06271459	0.012713277	0.051654417	0.039641622	0.030362925	0.06567339	0.008386271	0.00053343276	0.0013780372
a27	0.0041680452	4.4921417e-05	0.03409334	0.34847614	0.17556135	0.038148917	0.00082072767	0.00027484773	0.013639944	0.04059227	0.15990196	0.17608382	0.008022663	0.00017099122
a17	0.01228425	0.030651914	0.053479835	0.057948958	0.024911419	0.013082265	0.01167052	0.27060127	0.061422214	0.0925597	0.21369557	0.12875704	0.0198805	0.009054516
a31	0.01670846	0.041504107	0.1627862	0.1509547	0.07009371	0.05523565	0.01773962	0.16525726	0.04720779	0.06681118	0.10701463	0.072164506	0.014493612	0.012028604
a24	0.0028821125	0.0013973478	0.0021050582	0.0030483268	0.0028277745	0.0072678607	0.014848955	0.14172786	0.07635988	0.0886952	0.29678836	0.35692772	0.003530403	0.0015932452
a29	0.02187013	0.009179853	0.013661723	0.007218362	0.015362104	0.38706186	0.42455125	0.007763235	0.09679795	0.003705895	0.00036413854	0.00034877015	0.0007423568	0.011372367
a38	0.030821638	0.007330058	0.013716912	0.021508232	0.058858495	0.44598192	0.16718669	0.08460102	0.11963311	0.0309759	0.005334109	0.004485281	0.0017356254	0.007831023
a31	0.020887775	0.0049297716	0.004749685	0.008896001	0.034855198	0.4753603	0.28373545	0.054504585	0.090634555	0.008662462	0.0015945665	0.001690335	0.001094222	0.008405119
a37	0.007940891	0.0024183271	0.0023567956	0.0031087075	0.0033490143	0.034817815	0.24772456	0.036884245	0.33971927	0.14011817	0.102959506	0.04791218	0.012567941	0.018122653
a28	0.07383911	0.027042923	0.08450089	0.048469227	0.05941384	0.18550727	0.445966	0.025352005	0.037856165	0.0051024742	0.0023303244	0.00076945964	0.00079510023	0.0030553404
a39	0.031576935	0.019648382	0.083110556	0.10650602	0.049549546	0.31044954	0.24427855	0.027304426	0.07300043	0.011025486	0.0027193655	0.0021322328	0.002674817	0.0360237
a18	0.055878174	0.011387884	0.010572868	0.015429466	0.03620629	0.121223226	0.6875188	0.00401072	0.04133516	0.008455415	0.0014985967	0.00044269802	0.00036941774	0.005671243
a46	0.036500543	0.0048917453	0.0027455152	0.0057375655	0.021639658	0.117846	0.74683744	0.0034994818	0.046790414	0.0053431154	0.0006895411	0.0003063102	0.00043463273	0.0067380085
a31	0.03823458	0.004414167	0.0021758943	0.004215805	0.021406848	0.067933895	0.8040356	0.0034669635	0.04122773	0.007194493	0.0012782802	0.000393073	0.00049716857	0.003525475
a13	0.010084308	0.0018763823	0.0043459223	0.0023962155	0.003913907	0.05300055	0.6910225	0.032533985	0.11073402	0.028567586	0.032072444	0.013252867	0.0035520925	0.012647156
