 	il	ladro	è	entrato	da	qui	</S>
a31	0.23575786	0.0649097	0.023705998	0.025962848	0.0885464	0.18786828	0.3732489
a17	0.28783733	0.3257835	0.08383082	0.012952081	0.017187938	0.19018754	0.08222082
a37	0.16217019	0.4465792	0.3385435	0.018087966	0.012007932	0.0031684227	0.019442845
a35	0.1736161	0.39472824	0.40436092	0.009602834	0.0016560995	0.005839469	0.010196449
a18	0.40206707	0.42067766	0.11658225	0.037157986	0.0014629092	0.016837316	0.0052147135
a31	0.48208508	0.3421264	0.06840244	0.057583496	0.007617839	0.030473012	0.011711701
a24	0.22882323	0.47658306	0.10715549	0.016041325	0.04800441	0.095443405	0.027949074
a31	0.3496084	0.17736022	0.04203164	0.08318083	0.023906417	0.19373351	0.13017894
a16	0.08965047	0.18444619	0.080218814	0.031839654	0.22183499	0.28242895	0.1095809
a31	0.4591521	0.19900796	0.05611629	0.14229025	0.021565994	0.086053714	0.03581373
a46	0.10475851	0.25069028	0.07007819	0.109911054	0.1931532	0.1984849	0.07292387
a31	0.3340159	0.13931267	0.08563231	0.22862564	0.046625286	0.11896854	0.046819646
a46	0.22176161	0.21481332	0.0713984	0.13575603	0.2306	0.09281838	0.032852273
a31	0.2384506	0.14201486	0.111431114	0.1900434	0.09722403	0.12602907	0.094806954
a35	0.20707317	0.17069116	0.09898009	0.14304633	0.25678772	0.08740429	0.036017224
a31	0.20059162	0.14682205	0.12505889	0.15441798	0.123197064	0.13040926	0.119503066
a8	0.17916732	0.16167565	0.119453646	0.15001431	0.24553859	0.10038517	0.04376537
a31	0.16423295	0.14449261	0.13523382	0.14734304	0.13762622	0.13677521	0.13429612
</S>	0.15022977	0.15971635	0.13391334	0.19213617	0.22576992	0.095799245	0.042435158
