 	che	non	li	aspettiamo	</S>
a20	0.539979	0.09058426	0.07063232	0.031377655	0.2674268
a8	0.05239865	0.91890657	0.002783276	0.0005248292	0.025386732
a7	0.972439	0.02254673	0.0031588073	0.00039774991	0.001457785
a35	0.9072836	0.046514645	0.04471182	0.000107671396	0.0013822545
a46	0.7369533	0.23080495	0.01094728	0.0060570887	0.015237237
a31	0.45795	0.34495035	0.019726777	0.1006449	0.076728
a11	0.82613736	0.12019924	0.016340867	0.015353811	0.02196871
a31	0.40480104	0.36186814	0.06530087	0.070459895	0.09757008
a0	0.2815579	0.15013558	0.06363557	0.2294286	0.2752424
a31	0.37126267	0.089043915	0.04233833	0.040696733	0.45665827
a30	0.06701423	0.09592884	0.06363516	0.08407263	0.6893492
a0	0.6625587	0.04995561	0.19112685	0.04358494	0.052773908
a31	0.29720917	0.11849276	0.103636265	0.24977401	0.23088779
</S>	0.09612421	0.11519822	0.09330691	0.107205264	0.5881654
