 	la	casa	la	costruisce	il	mastro	</S>
a20	0.2104274	0.16619815	0.43618166	0.09067769	0.029295176	0.0072529875	0.059967004
a17	0.19522092	0.05408084	0.05578478	0.133879	0.0459834	0.4904054	0.02464566
a10	0.1511891	0.028700445	0.7324905	0.019861769	0.0057175304	0.058952678	0.0030880745
a24	0.0114173535	0.028697351	0.004645047	0.021645358	0.010145037	0.8820839	0.041365944
a46	0.15141451	0.06882416	0.015486105	0.0933872	0.0278785	0.62097293	0.022036597
a8	0.14207049	0.016729748	0.0027757818	0.05027593	0.02820641	0.7462837	0.013657952
a14	0.7064185	0.028093342	0.014842688	0.13714583	0.040325608	0.03941619	0.033757858
a31	0.6354208	0.028908996	0.00732314	0.11521185	0.036973722	0.10095997	0.07520158
a20	0.019921914	0.0031586282	0.0011022924	0.56680936	0.085015036	0.30953145	0.014461371
a41	0.44375265	0.03085343	0.047002718	0.092178464	0.12722848	0.062912665	0.19607155
a29	0.41747722	0.013585265	0.012509485	0.16123419	0.058148578	0.30185777	0.03518759
a31	0.5484867	0.024961688	0.015683198	0.14712748	0.13736159	0.060082354	0.066297084
a30	0.021217458	0.004630844	0.0016713686	0.76584536	0.05230449	0.13646257	0.017867913
a31	0.3623153	0.031177567	0.027926078	0.17605543	0.113801174	0.108849674	0.17987469
a28	0.0366796	0.006799204	0.016389934	0.29583967	0.0985343	0.5213131	0.02444423
a31	0.2983174	0.05037996	0.04933547	0.16194785	0.12099201	0.15062469	0.16840263
a17	0.10524897	0.012221156	0.03610034	0.019417997	0.026397068	0.41754004	0.38307443
a20	0.16485137	0.05569502	0.050327104	0.15972123	0.121203735	0.27628165	0.17191993
a31	0.18268053	0.056792267	0.09215201	0.07618541	0.15032911	0.112096965	0.32976365
a20	0.11211141	0.0341295	0.041950468	0.022897866	0.032288145	0.3064548	0.45016778
a29	0.16908674	0.08259134	0.08219908	0.14219153	0.12262844	0.2441392	0.1571637
a31	0.15937263	0.09986875	0.11894912	0.13089721	0.1393141	0.14628759	0.20531055
</S>	0.0860841	0.08172882	0.036698718	0.029011756	0.056442842	0.3048287	0.40520504
