 	non	aveva	dove	aveva	per	stare	</S>
a7	0.040063493	0.03287635	0.8896977	0.0093863765	0.0173192	0.00801415	0.0026428367
a31	0.016235415	0.018389419	0.7178323	0.0008097484	0.058295827	0.12714033	0.061296917
a29	0.008576731	0.01897118	0.11705324	0.00013972311	0.7520064	0.10324584	6.9313055e-06
a19	0.014130883	0.004645503	0.84602076	0.0041217366	0.0136776	0.11146988	0.00593358
a46	0.23020121	0.024492467	0.67289126	0.0061280006	0.035608437	0.020371497	0.010307137
a31	0.52616405	0.024557114	0.1531774	0.012375845	0.07570806	0.11715801	0.090859555
a38	0.10337488	0.013492589	0.09684748	0.0039443043	0.04227057	0.7267587	0.013311482
a31	0.4074815	0.03310437	0.079147115	0.014459857	0.0404311	0.038972795	0.3864033
a20	0.32614568	0.05631314	0.24874213	0.028422512	0.07633699	0.17412661	0.089912996
a31	0.44698954	0.04216709	0.058735467	0.010675204	0.053534772	0.186636	0.20126195
a0	0.6316242	0.05427933	0.16003196	0.018472826	0.011520027	0.013575178	0.110496484
a31	0.38211823	0.053439885	0.07510131	0.03119179	0.09864427	0.2812752	0.07822926
a46	0.7156673	0.06946611	0.060378876	0.017941687	0.013646556	0.03974938	0.08315004
a18	0.29515326	0.09230474	0.111080706	0.07574584	0.11721859	0.21733038	0.09116656
</S>	0.20879292	0.11344493	0.1200853	0.10189349	0.13529962	0.1987818	0.12170192
