 	non	ho	cosa	a	fare	</S>
a8	0.055569943	0.07133144	0.3033158	0.10142285	0.28449136	0.1838686
a31	0.016358351	0.07093023	0.020507796	0.20110096	0.6550793	0.036023416
a37	2.5990053e-05	0.0073440676	0.039049774	0.09374185	0.85982865	9.648978e-06
a10	5.168622e-05	0.00047890597	0.0020434433	0.008227419	0.98918414	1.4418019e-05
a37	0.18644787	0.31908104	0.1453899	0.16129026	0.12815034	0.05964053
a10	0.058147326	0.15619582	0.066981055	0.23331645	0.47914258	0.006216747
a0	0.4348246	0.13831057	0.09621908	0.15989439	0.043525003	0.12722643
a20	0.2077431	0.09680356	0.16877222	0.112358786	0.14498961	0.26933277
a17	0.078454345	0.08570564	0.32394424	0.09052976	0.31159535	0.109770656
a20	0.09591059	0.121993914	0.3847375	0.09935417	0.21068491	0.08731893
a8	0.13094221	0.15905899	0.31814727	0.10014366	0.18791912	0.1037887
</S>	0.16475223	0.20912334	0.21337202	0.08521498	0.22497967	0.1025578
