 	ha	che	sono	usciti	</S>
a31	0.0020169606	0.007686527	0.015440915	0.87519246	0.09966309
a13	0.7287797	0.06886323	0.0130753545	0.10340099	0.08588077
a8	0.006709956	0.9668163	0.02033654	0.0018848847	0.004252221
a24	0.048031297	0.86095995	0.020011524	0.047170073	0.023827152
a31	0.5288795	0.24013431	0.047332264	0.08051029	0.10314366
a0	0.41997874	0.24775462	0.099375024	0.13683379	0.09605779
a31	0.106842265	0.033941045	0.032890953	0.5490621	0.2772636
a8	0.24705248	0.06870993	0.08055437	0.27293846	0.33074474
a23	0.22968838	0.11389413	0.0913686	0.30939683	0.25565204
a8	0.12369028	0.10033648	0.11018356	0.25818142	0.40760824
a23	0.15070492	0.10026808	0.10316325	0.24634175	0.399522
</S>	0.25051016	0.11654828	0.07983576	0.21295059	0.34015518
