 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.037910677	0.04347227	0.05469675	0.18159212	0.03477453	0.23057726	0.41697633
a31	0.09672713	0.12711437	0.018924352	0.4547019	0.0027637302	0.17281662	0.1269518
a20	0.008210569	0.72819626	0.010924266	0.11990667	1.170349e-05	0.13274927	1.2623542e-06
a31	0.015552427	0.2927532	0.024350302	0.48930863	0.016603746	0.15096654	0.010465207
a20	0.073971026	0.48999748	0.003366968	0.38746998	0.0018599235	0.034156412	0.00917815
a38	0.052293636	0.111884296	0.047239624	0.3139962	0.07370415	0.35040903	0.050473023
a31	0.09924202	0.22971046	0.02443086	0.4666097	0.05060961	0.08015538	0.049242012
a29	0.03512982	0.14728627	0.040601373	0.47455618	0.09051356	0.20684604	0.0050667254
a20	0.18824121	0.11902018	0.010261781	0.43290094	0.034793507	0.04667044	0.16811192
a31	0.28835657	0.19643988	0.03782116	0.36061457	0.036572777	0.045566935	0.034628093
a20	0.021536723	0.15287656	0.06553853	0.45648086	0.07194431	0.2017428	0.029880082
a46	0.25542942	0.14816034	0.0115793	0.33372912	0.06216128	0.109871395	0.0790692
a31	0.14083794	0.074115515	0.0123302	0.20360932	0.0670016	0.10616152	0.3959439
a20	0.0717593	0.2455761	0.023028534	0.36271372	0.09925465	0.10398069	0.09368696
a31	0.38719264	0.1245679	0.02215513	0.13645509	0.09067738	0.17006744	0.06888444
a39	0.3211726	0.32838535	0.030129204	0.17153038	0.04086547	0.05120753	0.056709472
a0	0.44302723	0.14330769	0.04163767	0.11639682	0.08689117	0.10440929	0.06433023
a20	0.3063717	0.11311056	0.059369527	0.11301265	0.10363466	0.18992886	0.11457208
a23	0.22803937	0.12161589	0.0560919	0.12920931	0.103123546	0.24020153	0.12171846
a31	0.17907655	0.13133045	0.056999348	0.1362353	0.11005936	0.25267476	0.13362423
a20	0.049298614	0.24072613	0.04781212	0.3679018	0.13337082	0.14112313	0.019767469
a31	0.33507848	0.11537541	0.055103213	0.13597839	0.105542354	0.17095505	0.08196711
a46	0.2384706	0.21252818	0.105385214	0.16904068	0.050790466	0.121335134	0.102449775
</S>	0.19589083	0.14015985	0.1263874	0.14121522	0.13281968	0.13509102	0.128436
