 	mi	si	gonfiò	il	dito	</S>
a31	0.13732821	0.055616576	0.19730918	0.47441646	0.068243526	0.06708601
a11	0.83950615	0.039528728	0.035445217	0.029006232	0.0036625916	0.052851107
a31	0.27818835	0.19197585	0.057193797	0.13964015	0.09019575	0.24280615
a15	0.53878635	0.28728297	0.041147947	0.055293154	0.007956266	0.069533326
a31	0.16997539	0.0920683	0.14400414	0.5501428	0.038934384	0.0048749335
a0	0.6057181	0.17509784	0.07767001	0.115566276	0.007010195	0.018937638
a46	0.8478228	0.05759842	0.014338883	0.033009056	0.0021446275	0.045086205
a31	0.79403734	0.08979633	0.01507055	0.01856565	0.0046633435	0.077866845
a18	0.43159825	0.053322695	0.053653955	0.075126514	0.055858903	0.33043975
a31	0.6724141	0.13657014	0.08649985	0.037351295	0.029953592	0.03721093
a24	0.15377127	0.07812199	0.16929428	0.12962775	0.2780256	0.19115911
a28	0.36348602	0.14486879	0.14436513	0.11827794	0.11473406	0.11426802
a13	0.22251587	0.14407371	0.17640702	0.15706134	0.16210203	0.13784
a20	0.22976309	0.13263774	0.1983116	0.15496516	0.16536814	0.11895423
a17	0.35220882	0.12959683	0.20293854	0.1117674	0.112334184	0.09115423
a39	0.31769344	0.19191688	0.27969798	0.089016736	0.06590943	0.055765525
a20	0.20485291	0.1710719	0.3837587	0.12399199	0.079503335	0.03682125
a31	0.20023507	0.17068835	0.38605893	0.1268903	0.080273315	0.035854116
a41	0.02946248	0.300468	0.47680816	0.12682495	0.06204968	0.0043867305
a8	0.29627755	0.19330144	0.32034078	0.08948518	0.06812544	0.03246965
a37	0.26883557	0.14630088	0.35320115	0.09748862	0.08738641	0.046787247
a8	0.35526302	0.13413925	0.19226404	0.111623354	0.110479146	0.09623122
</S>	0.35276353	0.13752426	0.17877254	0.1142245	0.11213255	0.104582645
