 	non	aveva	dove	a	stare	</S>
a31	0.06658416	0.025245998	0.8197325	0.02743518	0.04909121	0.011910998
a8	0.47779116	0.008614375	0.07510644	0.0053485935	0.14291735	0.29022202
a31	0.025979135	0.005130517	0.04275267	0.016616143	0.7348986	0.17462286
a28	0.004557462	0.00064299477	0.008024178	0.0036863952	0.98058003	0.0025089944
a37	0.02889775	0.0042578555	0.79720145	0.0060428497	0.163398	0.00020214418
a31	0.5531112	0.0352037	0.13887633	0.06339307	0.09883484	0.110580884
a18	0.7393131	0.023342466	0.062201597	0.008200762	0.0975408	0.06940122
a0	0.31387818	0.016930122	0.044574827	0.025906114	0.39334914	0.20536162
a23	0.21224302	0.03430093	0.037372906	0.03532623	0.30516976	0.3755872
a8	0.2469691	0.09823902	0.07908782	0.07373666	0.33923003	0.16273734
a31	0.22368479	0.14043084	0.1104917	0.10185012	0.27969426	0.14384829
a20	0.17432731	0.09526403	0.22462082	0.09271407	0.3063762	0.10669757
a31	0.24749176	0.0835835	0.06795653	0.067544304	0.45814154	0.07528231
a20	0.28766125	0.21555683	0.06990515	0.10456324	0.14534289	0.17697063
a24	0.20516895	0.14876294	0.1480773	0.14689188	0.20255716	0.14854178
a8	0.1976083	0.15334079	0.15044607	0.15007779	0.19848278	0.15004429
a31	0.24886484	0.13382785	0.124090366	0.123476274	0.2502242	0.11951649
</S>	0.40630236	0.22052895	0.045989864	0.06891621	0.08423523	0.17402735
